File: points_prob710_1.txt, Average Fitness: 2896.354699065982, Average Time: 6.301172256469727
File: points_prob710_10.txt, Average Fitness: 2894.6733257266433, Average Time: 7.579719543457031
File: points_prob710_100.txt, Average Fitness: 2857.7706541702023, Average Time: 5.359802007675171
File: points_prob710_11.txt, Average Fitness: 2915.7321446510095, Average Time: 5.483330011367798
File: points_prob710_12.txt, Average Fitness: 2898.2162963475785, Average Time: 5.142609119415283
File: points_prob710_13.txt, Average Fitness: 2846.0996404960015, Average Time: 5.8852949142456055
File: points_prob710_14.txt, Average Fitness: 2850.8233147130086, Average Time: 6.038843870162964
File: points_prob710_15.txt, Average Fitness: 2885.387108435615, Average Time: 5.682931423187256
File: points_prob710_16.txt, Average Fitness: 2880.0768833856314, Average Time: 4.028223514556885
File: points_prob710_17.txt, Average Fitness: 2895.220274303542, Average Time: 5.825140714645386
File: points_prob710_18.txt, Average Fitness: 2889.5887166305383, Average Time: 4.422892332077026
File: points_prob710_19.txt, Average Fitness: 2894.0118482685757, Average Time: 6.424814939498901
File: points_prob710_2.txt, Average Fitness: 2888.045314144621, Average Time: 4.0132904052734375
File: points_prob710_20.txt, Average Fitness: 2868.0583568234683, Average Time: 6.745898962020874
File: points_prob710_21.txt, Average Fitness: 2892.896052367674, Average Time: 5.3138110637664795
File: points_prob710_22.txt, Average Fitness: 2861.046775463931, Average Time: 4.125972509384155
File: points_prob710_23.txt, Average Fitness: 2897.1559456978343, Average Time: 5.372588634490967
File: points_prob710_24.txt, Average Fitness: 2883.3658932273406, Average Time: 5.496325492858887
File: points_prob710_25.txt, Average Fitness: 2876.6448325118668, Average Time: 4.0966620445251465
File: points_prob710_26.txt, Average Fitness: 2884.7673980320506, Average Time: 6.456752300262451
File: points_prob710_27.txt, Average Fitness: 2893.874491613373, Average Time: 6.877629518508911
File: points_prob710_28.txt, Average Fitness: 2878.688215667202, Average Time: 5.510249376296997
File: points_prob710_29.txt, Average Fitness: 2867.6882235947437, Average Time: 5.052508592605591
File: points_prob710_3.txt, Average Fitness: 2895.888495355238, Average Time: 5.426936626434326
File: points_prob710_30.txt, Average Fitness: 2860.127588871706, Average Time: 6.174175500869751
File: points_prob710_31.txt, Average Fitness: 2900.2030353575874, Average Time: 5.4624269008636475
File: points_prob710_32.txt, Average Fitness: 2895.1457446664017, Average Time: 4.998653411865234
File: points_prob710_33.txt, Average Fitness: 2887.0613128485084, Average Time: 4.290428400039673
File: points_prob710_34.txt, Average Fitness: 2872.1021304284404, Average Time: 6.529522180557251
File: points_prob710_35.txt, Average Fitness: 2885.6662929956183, Average Time: 5.07939887046814
File: points_prob710_36.txt, Average Fitness: 2878.489229001862, Average Time: 4.252584457397461
File: points_prob710_37.txt, Average Fitness: 2892.4853028090006, Average Time: 4.66853928565979
File: points_prob710_38.txt, Average Fitness: 2892.7016174453265, Average Time: 4.200734853744507
File: points_prob710_39.txt, Average Fitness: 2909.5209248275073, Average Time: 5.141245603561401
File: points_prob710_4.txt, Average Fitness: 2874.918328342569, Average Time: 4.894934177398682
File: points_prob710_40.txt, Average Fitness: 2915.5659016579393, Average Time: 4.265586853027344
File: points_prob710_41.txt, Average Fitness: 2861.414430657624, Average Time: 4.360323905944824
File: points_prob710_42.txt, Average Fitness: 2893.883224897075, Average Time: 4.953706502914429
File: points_prob710_43.txt, Average Fitness: 2904.277600632053, Average Time: 5.62886118888855
File: points_prob710_44.txt, Average Fitness: 2875.1206272295144, Average Time: 4.5708136558532715
File: points_prob710_45.txt, Average Fitness: 2869.999938394148, Average Time: 5.069433212280273
File: points_prob710_46.txt, Average Fitness: 2879.057005288714, Average Time: 5.5755205154418945
File: points_prob710_47.txt, Average Fitness: 2888.840198381398, Average Time: 4.8171141147613525
File: points_prob710_48.txt, Average Fitness: 2894.6232509100346, Average Time: 6.207391977310181
File: points_prob710_49.txt, Average Fitness: 2842.0977516911275, Average Time: 3.8566551208496094
File: points_prob710_5.txt, Average Fitness: 2852.8735247250256, Average Time: 4.457482576370239
File: points_prob710_50.txt, Average Fitness: 2897.490742376834, Average Time: 4.238690376281738
File: points_prob710_51.txt, Average Fitness: 2871.3451536703033, Average Time: 4.1339404582977295
File: points_prob710_52.txt, Average Fitness: 2875.5324581395685, Average Time: 4.911885738372803
File: points_prob710_53.txt, Average Fitness: 2915.143080791695, Average Time: 4.848041534423828
File: points_prob710_54.txt, Average Fitness: 2929.6470880190504, Average Time: 4.7363176345825195
File: points_prob710_55.txt, Average Fitness: 2852.892718584898, Average Time: 5.13221001625061
File: points_prob710_56.txt, Average Fitness: 2837.9742268839723, Average Time: 4.036238670349121
File: points_prob710_57.txt, Average Fitness: 2904.876667637238, Average Time: 4.737328767776489
File: points_prob710_58.txt, Average Fitness: 2850.853021144802, Average Time: 4.709421873092651
File: points_prob710_59.txt, Average Fitness: 2903.2072910822476, Average Time: 4.802155494689941
File: points_prob710_6.txt, Average Fitness: 2913.097059184697, Average Time: 4.299530744552612
File: points_prob710_60.txt, Average Fitness: 2858.646031858444, Average Time: 3.86761736869812
File: points_prob710_61.txt, Average Fitness: 2857.790063700029, Average Time: 3.713104724884033
File: points_prob710_62.txt, Average Fitness: 2883.6452677123502, Average Time: 4.257614850997925
File: points_prob710_63.txt, Average Fitness: 2902.8867575248073, Average Time: 3.753948211669922
File: points_prob710_64.txt, Average Fitness: 2883.45206105586, Average Time: 4.931533336639404
File: points_prob710_65.txt, Average Fitness: 2845.5700495642595, Average Time: 7.032084941864014
File: points_prob710_66.txt, Average Fitness: 2866.36851908285, Average Time: 5.833282947540283
File: points_prob710_67.txt, Average Fitness: 2878.806062562636, Average Time: 4.069835662841797
File: points_prob710_68.txt, Average Fitness: 2873.383859496077, Average Time: 3.425835371017456
File: points_prob710_69.txt, Average Fitness: 2896.1952217192384, Average Time: 4.042158603668213
File: points_prob710_7.txt, Average Fitness: 2894.5818185704074, Average Time: 3.9554450511932373
File: points_prob710_70.txt, Average Fitness: 2893.533903537912, Average Time: 4.192314624786377
File: points_prob710_71.txt, Average Fitness: 2883.0732816075197, Average Time: 5.1691734790802
File: points_prob710_72.txt, Average Fitness: 2935.0804578000298, Average Time: 3.3759703636169434
File: points_prob710_73.txt, Average Fitness: 2873.910004960301, Average Time: 5.039520025253296
File: points_prob710_74.txt, Average Fitness: 2908.550645057901, Average Time: 4.585731744766235
File: points_prob710_75.txt, Average Fitness: 2888.6716805054557, Average Time: 5.154206037521362
File: points_prob710_76.txt, Average Fitness: 2868.914019197165, Average Time: 3.7150866985321045
File: points_prob710_77.txt, Average Fitness: 2870.2285724687936, Average Time: 5.143242597579956
File: points_prob710_78.txt, Average Fitness: 2883.0368101374424, Average Time: 4.080109357833862
File: points_prob710_79.txt, Average Fitness: 2890.3109370457896, Average Time: 6.523547410964966
File: points_prob710_8.txt, Average Fitness: 2884.3250014606265, Average Time: 3.9654526710510254
File: points_prob710_80.txt, Average Fitness: 2904.7728785627755, Average Time: 5.218070030212402
File: points_prob710_81.txt, Average Fitness: 2895.374960421098, Average Time: 4.812124729156494
File: points_prob710_82.txt, Average Fitness: 2896.7834140306545, Average Time: 4.269604444503784
File: points_prob710_83.txt, Average Fitness: 2873.284860651381, Average Time: 5.2649147510528564
File: points_prob710_84.txt, Average Fitness: 2879.0600023825054, Average Time: 7.758245229721069
File: points_prob710_85.txt, Average Fitness: 2866.689209141332, Average Time: 4.42613959312439
File: points_prob710_86.txt, Average Fitness: 2868.436788736034, Average Time: 5.883302450180054
File: points_prob710_87.txt, Average Fitness: 2885.3911664557754, Average Time: 4.634627819061279
File: points_prob710_88.txt, Average Fitness: 2869.6520535648906, Average Time: 6.067767858505249
File: points_prob710_89.txt, Average Fitness: 2879.395598903504, Average Time: 5.001910209655762
File: points_prob710_9.txt, Average Fitness: 2893.7547446038616, Average Time: 6.684117555618286
File: points_prob710_90.txt, Average Fitness: 2872.202399062587, Average Time: 4.328419923782349
File: points_prob710_91.txt, Average Fitness: 2889.7945096636704, Average Time: 5.025584936141968
File: points_prob710_92.txt, Average Fitness: 2881.836012232893, Average Time: 4.539853811264038
File: points_prob710_93.txt, Average Fitness: 2882.2948153496377, Average Time: 5.3177878856658936
File: points_prob710_94.txt, Average Fitness: 2869.3992843230476, Average Time: 5.2262022495269775
File: points_prob710_95.txt, Average Fitness: 2898.064336640299, Average Time: 5.8284080028533936
File: points_prob710_96.txt, Average Fitness: 2875.7562287410874, Average Time: 4.32243537902832
File: points_prob710_97.txt, Average Fitness: 2882.7204687030367, Average Time: 4.485011577606201
File: points_prob710_98.txt, Average Fitness: 2873.7412616243823, Average Time: 5.608994483947754
File: points_prob710_99.txt, Average Fitness: 2873.68067288557, Average Time: 5.267932176589966
