File: points_prob410_1.txt, Average Fitness: 1651.9308077957212, Average Time: 3.3430612087249756
File: points_prob410_10.txt, Average Fitness: 1682.9177368692826, Average Time: 3.1635630130767822
File: points_prob410_100.txt, Average Fitness: 1658.4301682104365, Average Time: 3.7260055541992188
File: points_prob410_11.txt, Average Fitness: 1685.6886700177308, Average Time: 4.658562183380127
File: points_prob410_12.txt, Average Fitness: 1637.5012482687973, Average Time: 3.0927255153656006
File: points_prob410_13.txt, Average Fitness: 1638.4267733028673, Average Time: 2.765627145767212
File: points_prob410_14.txt, Average Fitness: 1646.0961143242118, Average Time: 3.9000439643859863
File: points_prob410_15.txt, Average Fitness: 1652.0707735646079, Average Time: 2.586092948913574
File: points_prob410_16.txt, Average Fitness: 1659.367217806128, Average Time: 4.623936891555786
File: points_prob410_17.txt, Average Fitness: 1635.8594167452222, Average Time: 3.4867312908172607
File: points_prob410_18.txt, Average Fitness: 1640.007682844529, Average Time: 3.985320568084717
File: points_prob410_19.txt, Average Fitness: 1643.6248856054654, Average Time: 4.377289295196533
File: points_prob410_2.txt, Average Fitness: 1658.90159089067, Average Time: 3.4647326469421387
File: points_prob410_20.txt, Average Fitness: 1634.913208934212, Average Time: 3.355053424835205
File: points_prob410_21.txt, Average Fitness: 1645.4945150038816, Average Time: 2.8104848861694336
File: points_prob410_22.txt, Average Fitness: 1671.3795279250908, Average Time: 4.251596212387085
File: points_prob410_23.txt, Average Fitness: 1664.9416976576013, Average Time: 2.6778604984283447
File: points_prob410_24.txt, Average Fitness: 1666.3570639185218, Average Time: 2.6798300743103027
File: points_prob410_25.txt, Average Fitness: 1677.3996578365682, Average Time: 3.4796652793884277
File: points_prob410_26.txt, Average Fitness: 1626.808324480135, Average Time: 3.4797160625457764
File: points_prob410_27.txt, Average Fitness: 1619.9099713441522, Average Time: 2.4833567142486572
File: points_prob410_28.txt, Average Fitness: 1643.6314726536618, Average Time: 2.5451924800872803
File: points_prob410_29.txt, Average Fitness: 1671.928668378227, Average Time: 2.6945981979370117
File: points_prob410_3.txt, Average Fitness: 1642.8621885714615, Average Time: 3.8576645851135254
File: points_prob410_30.txt, Average Fitness: 1650.8693459186031, Average Time: 4.407206773757935
File: points_prob410_31.txt, Average Fitness: 1642.171876576246, Average Time: 3.206393003463745
File: points_prob410_32.txt, Average Fitness: 1633.0716611392118, Average Time: 2.644953727722168
File: points_prob410_33.txt, Average Fitness: 1598.1123782449731, Average Time: 3.4697165489196777
File: points_prob410_34.txt, Average Fitness: 1632.6473264093142, Average Time: 2.9740726947784424
File: points_prob410_35.txt, Average Fitness: 1663.9028916451582, Average Time: 3.935500383377075
File: points_prob410_36.txt, Average Fitness: 1672.2788491064043, Average Time: 4.175801753997803
File: points_prob410_37.txt, Average Fitness: 1647.6578800387001, Average Time: 2.6668670177459717
File: points_prob410_38.txt, Average Fitness: 1669.8922851596085, Average Time: 2.8972787857055664
File: points_prob410_39.txt, Average Fitness: 1613.2642919510477, Average Time: 3.3031623363494873
File: points_prob410_4.txt, Average Fitness: 1634.4773232496536, Average Time: 2.7496657371520996
File: points_prob410_40.txt, Average Fitness: 1640.9319537063811, Average Time: 4.05319881439209
