File,Fitness (Output 1),Fitness (Output 2),Accuracy
points_prob110_10.txt,404.33038081276436,433.4095094519058,93.29061130294181
points_prob110_100.txt,414.48217146818706,420.8100267284136,98.49626794555671
points_prob110_11.txt,419.0795597533198,428.50985779074256,97.79928095795923
points_prob110_12.txt,411.3292356378523,438.3826903581868,93.82880407567414
points_prob110_13.txt,401.01106104305376,424.73784260493096,94.41378205992665
points_prob110_14.txt,407.17082290985866,512.8445235708998,79.3945931360946
points_prob110_15.txt,422.50597302192045,421.9385067900679,100.13449026877628
points_prob110_16.txt,401.98840491146274,438.0657243469003,91.76440487572401
points_prob110_17.txt,391.049751031646,420.6515301825433,92.9628737739165
points_prob110_18.txt,401.7271650507722,136.77887937262693,293.7055537327121
points_prob110_19.txt,402.2783246600103,419.65436697024495,95.8594396537123
points_prob110_2.txt,427.5539683557702,418.24875932057523,102.22480254342196
points_prob110_20.txt,421.5386647088288,446.4432792380212,94.42155013024298
points_prob110_21.txt,394.9187081320122,442.69165752160654,89.2085272948107
points_prob110_22.txt,406.205984585275,405.44045522818453,100.18881425058079
points_prob110_23.txt,420.4655543550381,422.66748749156534,99.47903891316666
points_prob110_24.txt,427.5945829423155,24.46506458989195,1747.7762274904505
points_prob110_25.txt,399.80224339099817,449.64369789802925,88.91534458505095
points_prob110_26.txt,414.5882845597324,513.659191731373,80.71271598631269
points_prob110_27.txt,413.3396814111152,430.4251547050618,96.03055883068589
points_prob110_28.txt,422.6428783125901,423.09594806092673,99.89291560214342
points_prob110_29.txt,428.0961929153733,440.5439006467391,97.17446826227943
points_prob110_3.txt,390.3005841061987,450.34842673771834,86.66635896421343
points_prob110_30.txt,411.5404004479666,527.9531119546601,77.95017987947935
points_prob110_31.txt,424.91667352609664,428.61486912856924,99.13717514980488
points_prob110_32.txt,412.96391245128586,445.5418008764128,92.68802874140117
points_prob110_33.txt,420.4276841412031,530.5662212793186,79.24132130527535
points_prob110_34.txt,400.47810222905724,25.074179708976136,1597.1732949081993
points_prob110_35.txt,389.3180307435544,419.34992308883295,92.83846480188414
points_prob110_36.txt,410.21442523734584,398.88434086713926,102.84044350940826
points_prob110_37.txt,411.5547523375652,420.9703413863108,97.76336047386646
points_prob110_38.txt,418.04863334449465,426.22712309612155,98.0811897440458
points_prob110_39.txt,411.2168961256333,434.9022009056433,94.55387792228055
points_prob110_4.txt,406.90542377418393,432.96206845199913,93.98177194344589
points_prob110_40.txt,398.8811855159063,536.5756268113017,74.33829745237037
points_prob110_41.txt,409.2255753299261,414.52770939808954,98.72092167834512
points_prob110_42.txt,404.93460110412303,25.787384428024886,1570.2817873380495
points_prob110_43.txt,418.1515391120968,418.0077460784772,100.03439960980833
points_prob110_44.txt,401.2074540494603,439.2279555849417,91.34378833313384
points_prob110_45.txt,415.9067249493176,409.212927913541,101.63577359833334
points_prob110_46.txt,408.73147638752584,24.212750900450004,1688.0835972253337
points_prob110_47.txt,394.14982278648705,424.76225560730734,92.79304306898646
points_prob110_48.txt,422.02557730532135,404.25862290405445,104.39494753968023
points_prob110_49.txt,412.345369980379,439.61521811366094,93.79688258966699
points_prob110_5.txt,401.55108431817155,429.1427057113974,93.5705253692972
points_prob110_50.txt,410.542739079801,419.44077133527173,97.8785962492048
points_prob110_51.txt,396.0417213761606,430.43610175269816,92.00941086575064
points_prob110_52.txt,410.2182635407959,410.5024122180604,99.93078026613068
points_prob110_53.txt,421.7425868744508,541.0441013410349,77.94976154977336
points_prob110_54.txt,420.8005136477521,436.71271367602094,96.35636895149486
points_prob110_55.txt,398.37999138729975,438.30526903886073,90.89098843390332
points_prob110_56.txt,410.287361369226,414.73967674035464,98.92647951936462
points_prob110_57.txt,410.88063918871376,425.3127781901334,96.60669988265252
points_prob110_58.txt,407.96592116154653,426.4702842857513,95.66104279570247
points_prob110_59.txt,407.398229105461,420.4423816687603,96.89751720282663
points_prob110_6.txt,434.6591906941338,425.47438388809917,102.15872145394545
points_prob110_60.txt,395.1694484236938,452.70602617230054,87.29052090711329
points_prob110_61.txt,413.3009508159654,513.0977558343656,80.55013808116989
points_prob110_62.txt,441.68955413024275,432.70470046961725,102.07644004118147
points_prob110_63.txt,410.9947738636889,459.47575531619407,89.44863120815975
points_prob110_64.txt,415.6708454441935,538.9476619122368,77.12638440054725
points_prob110_65.txt,439.0428530925718,431.02200593467705,101.86089040639618
points_prob110_66.txt,421.7054359689634,576.8621216109965,73.10333269781543
points_prob110_67.txt,394.09141630553887,442.42815253783647,89.07466987463827
points_prob110_68.txt,431.5668662145814,405.64437717819527,106.39044702572042
points_prob110_69.txt,412.0726690661307,450.08766360881543,91.55386880904945
points_prob110_7.txt,406.82278923288044,547.4683409922327,74.30982922145854
points_prob110_70.txt,425.06778960039026,421.4320999667401,100.86269879155789
points_prob110_71.txt,415.4778546814294,443.3972670515958,93.70329624361045
points_prob110_72.txt,428.43535624284397,430.6720299481659,99.48065498806804
points_prob110_73.txt,420.3438499588181,569.1356098268797,73.85653659708251
points_prob110_74.txt,417.7981550528989,438.7676492042939,95.22082036143202
points_prob110_75.txt,422.4582633640688,547.7624951006492,77.12434990395678
points_prob110_76.txt,414.00184547830304,550.8398903382958,75.15829059221649
points_prob110_77.txt,393.12548851211994,430.38955455165024,91.34178196347041
points_prob110_78.txt,405.0891086286773,406.72700677164534,99.5972979134165
points_prob110_79.txt,405.8270471092852,419.97298774422154,96.63170226472953
points_prob110_8.txt,419.51120266725286,525.5259433716436,79.8269253798915
points_prob110_80.txt,414.9818223527701,438.76019911773847,94.58055292782207
