File: points_prob910_1.txt, Average Fitness: 3707.688822365804, Average Time: 7.864986896514893
File: points_prob910_10.txt, Average Fitness: 3696.278936855406, Average Time: 5.217052459716797
File: points_prob910_100.txt, Average Fitness: 3695.3541164376493, Average Time: 5.94711709022522
File: points_prob910_11.txt, Average Fitness: 3703.2171623800186, Average Time: 4.640584707260132
File: points_prob910_12.txt, Average Fitness: 3690.766165703543, Average Time: 5.484338760375977
File: points_prob910_13.txt, Average Fitness: 3718.8733839911074, Average Time: 5.902601957321167
File: points_prob910_14.txt, Average Fitness: 3712.109030985875, Average Time: 6.722015619277954
File: points_prob910_15.txt, Average Fitness: 3695.204786925152, Average Time: 7.130949258804321
File: points_prob910_16.txt, Average Fitness: 3700.291619694426, Average Time: 4.3363938331604
File: points_prob910_17.txt, Average Fitness: 3687.982684045253, Average Time: 6.346025705337524
File: points_prob910_18.txt, Average Fitness: 3714.8546946551687, Average Time: 5.399429798126221
File: points_prob910_19.txt, Average Fitness: 3716.738925280755, Average Time: 7.612668752670288
File: points_prob910_2.txt, Average Fitness: 3703.67513450618, Average Time: 7.948729515075684
File: points_prob910_20.txt, Average Fitness: 3705.703594321833, Average Time: 6.0987207889556885
File: points_prob910_21.txt, Average Fitness: 3724.390803988986, Average Time: 6.970351696014404
File: points_prob910_22.txt, Average Fitness: 3692.449548181883, Average Time: 4.557819604873657
File: points_prob910_23.txt, Average Fitness: 3720.4335837462786, Average Time: 6.302135705947876
File: points_prob910_24.txt, Average Fitness: 3709.3271288697897, Average Time: 7.138874769210815
File: points_prob910_25.txt, Average Fitness: 3711.044603921135, Average Time: 7.756276607513428
File: points_prob910_26.txt, Average Fitness: 3701.0846768324022, Average Time: 7.642554759979248
File: points_prob910_27.txt, Average Fitness: 3723.8558644085842, Average Time: 5.358663320541382
File: points_prob910_28.txt, Average Fitness: 3717.1549254995666, Average Time: 6.1984171867370605
File: points_prob910_29.txt, Average Fitness: 3706.3119369337, Average Time: 5.669847249984741
File: points_prob910_3.txt, Average Fitness: 3711.2373020898517, Average Time: 6.154537916183472
File: points_prob910_30.txt, Average Fitness: 3699.872263144285, Average Time: 7.646543025970459
File: points_prob910_31.txt, Average Fitness: 3720.30295260573, Average Time: 6.432790279388428
File: points_prob910_32.txt, Average Fitness: 3713.284937240817, Average Time: 7.604628086090088
File: points_prob910_33.txt, Average Fitness: 3710.082254394385, Average Time: 7.149901390075684
File: points_prob910_34.txt, Average Fitness: 3718.7285903975508, Average Time: 7.385244607925415
File: points_prob910_35.txt, Average Fitness: 3717.2532635721527, Average Time: 7.126976013183594
File: points_prob910_36.txt, Average Fitness: 3718.044433674555, Average Time: 5.587043285369873
File: points_prob910_37.txt, Average Fitness: 3710.326534823474, Average Time: 6.212406158447266
File: points_prob910_38.txt, Average Fitness: 3687.1275918375186, Average Time: 4.961658477783203
File: points_prob910_39.txt, Average Fitness: 3707.750781847689, Average Time: 4.521249294281006
File: points_prob910_4.txt, Average Fitness: 3725.498993382294, Average Time: 5.394559383392334
File: points_prob910_40.txt, Average Fitness: 3697.7358011394876, Average Time: 6.33106255531311
File: points_prob910_41.txt, Average Fitness: 3710.6408770146736, Average Time: 6.403869152069092
File: points_prob910_42.txt, Average Fitness: 3684.772726043171, Average Time: 5.365674734115601
File: points_prob910_43.txt, Average Fitness: 3694.573834363633, Average Time: 8.71066927909851
File: points_prob910_44.txt, Average Fitness: 3700.322508783212, Average Time: 6.141571283340454
File: points_prob910_45.txt, Average Fitness: 3715.4073044257448, Average Time: 5.349520206451416
File: points_prob910_46.txt, Average Fitness: 3717.9408815245333, Average Time: 5.961079120635986
File: points_prob910_47.txt, Average Fitness: 3680.2827830017613, Average Time: 6.319133281707764
File: points_prob910_48.txt, Average Fitness: 3711.492427001165, Average Time: 4.815160274505615
File: points_prob910_49.txt, Average Fitness: 3724.20982670415, Average Time: 4.722393274307251
File: points_prob910_5.txt, Average Fitness: 3693.593334840742, Average Time: 5.268904447555542
File: points_prob910_50.txt, Average Fitness: 3716.13171805573, Average Time: 4.783758163452148
File: points_prob910_51.txt, Average Fitness: 3717.39806261628, Average Time: 4.795170545578003
File: points_prob910_52.txt, Average Fitness: 3712.7489574309984, Average Time: 7.421145677566528
File: points_prob910_53.txt, Average Fitness: 3705.989438893686, Average Time: 6.876637935638428
File: points_prob910_54.txt, Average Fitness: 3699.993884001659, Average Time: 7.720313310623169
File: points_prob910_55.txt, Average Fitness: 3738.0000690466168, Average Time: 5.535220623016357
File: points_prob910_56.txt, Average Fitness: 3693.6234102856715, Average Time: 5.359744071960449
File: points_prob910_57.txt, Average Fitness: 3718.213621830493, Average Time: 7.927515983581543
File: points_prob910_58.txt, Average Fitness: 3735.394189823778, Average Time: 5.304836750030518
File: points_prob910_59.txt, Average Fitness: 3714.489235161025, Average Time: 5.400577783584595
File: points_prob910_6.txt, Average Fitness: 3693.0383876195137, Average Time: 6.251290798187256
File: points_prob910_60.txt, Average Fitness: 3695.8562584508054, Average Time: 7.04415488243103
File: points_prob910_61.txt, Average Fitness: 3682.851572843109, Average Time: 6.5904083251953125
File: points_prob910_62.txt, Average Fitness: 3683.391269106181, Average Time: 5.77151894569397
File: points_prob910_63.txt, Average Fitness: 3712.1316616675877, Average Time: 4.748299598693848
File: points_prob910_64.txt, Average Fitness: 3720.3021602398144, Average Time: 5.602039813995361
File: points_prob910_65.txt, Average Fitness: 3712.950322238537, Average Time: 4.451091289520264
File: points_prob910_66.txt, Average Fitness: 3707.8610793332978, Average Time: 5.897237062454224
File: points_prob910_67.txt, Average Fitness: 3710.4174877136284, Average Time: 8.962009906768799
File: points_prob910_68.txt, Average Fitness: 3716.7424530864673, Average Time: 7.546826124191284
File: points_prob910_69.txt, Average Fitness: 3720.5475004248583, Average Time: 7.516890287399292
File: points_prob910_7.txt, Average Fitness: 3728.1451759011306, Average Time: 4.797194004058838
File: points_prob910_70.txt, Average Fitness: 3707.1713308920434, Average Time: 5.374658584594727
File: points_prob910_71.txt, Average Fitness: 3722.888212133621, Average Time: 6.203430652618408
File: points_prob910_72.txt, Average Fitness: 3698.846910519039, Average Time: 5.137261152267456
File: points_prob910_73.txt, Average Fitness: 3699.609264432108, Average Time: 5.925129175186157
File: points_prob910_74.txt, Average Fitness: 3733.399328246556, Average Time: 4.456077814102173
File: points_prob910_75.txt, Average Fitness: 3720.566992863965, Average Time: 7.028203964233398
File: points_prob910_76.txt, Average Fitness: 3692.832644835275, Average Time: 6.469714164733887
File: points_prob910_77.txt, Average Fitness: 3692.455118924667, Average Time: 5.4155120849609375
File: points_prob910_78.txt, Average Fitness: 3717.62356191891, Average Time: 5.7196714878082275
File: points_prob910_79.txt, Average Fitness: 3680.9309589630884, Average Time: 8.572093725204468
File: points_prob910_8.txt, Average Fitness: 3722.0400694169175, Average Time: 7.173780918121338
File: points_prob910_80.txt, Average Fitness: 3723.1546127276292, Average Time: 5.61124324798584
File: points_prob910_81.txt, Average Fitness: 3730.8357109216804, Average Time: 8.171168565750122
File: points_prob910_82.txt, Average Fitness: 3757.914533749158, Average Time: 4.417182922363281
File: points_prob910_83.txt, Average Fitness: 3727.3403301263097, Average Time: 6.633279800415039
File: points_prob910_84.txt, Average Fitness: 3715.300106041833, Average Time: 7.795145750045776
File: points_prob910_85.txt, Average Fitness: 3708.4319171954176, Average Time: 5.939495801925659
File: points_prob910_86.txt, Average Fitness: 3706.61080518336, Average Time: 6.076741933822632
File: points_prob910_87.txt, Average Fitness: 3695.7397063622766, Average Time: 5.35268497467041
File: points_prob910_88.txt, Average Fitness: 3704.288803829819, Average Time: 6.748966932296753
File: points_prob910_89.txt, Average Fitness: 3700.4841307421602, Average Time: 6.0738160610198975
File: points_prob910_9.txt, Average Fitness: 3714.7717481274003, Average Time: 5.44340968132019
File: points_prob910_90.txt, Average Fitness: 3722.316596821815, Average Time: 7.524897813796997
File: points_prob910_91.txt, Average Fitness: 3708.747767010617, Average Time: 5.251950263977051
File: points_prob910_92.txt, Average Fitness: 3683.9288423804524, Average Time: 7.3263726234436035
File: points_prob910_93.txt, Average Fitness: 3691.6426956040996, Average Time: 6.923504114151001
File: points_prob910_94.txt, Average Fitness: 3711.3408345672133, Average Time: 4.970708608627319
File: points_prob910_95.txt, Average Fitness: 3725.6075585900544, Average Time: 5.1931071281433105
File: points_prob910_96.txt, Average Fitness: 3713.5342121404037, Average Time: 6.772881269454956
File: points_prob910_97.txt, Average Fitness: 3707.3259092911157, Average Time: 5.567274332046509
File: points_prob910_98.txt, Average Fitness: 3702.0156741890487, Average Time: 7.425135612487793
File: points_prob910_99.txt, Average Fitness: 3701.8383187079125, Average Time: 5.322206497192383
