File: points_prob1010_73.txt, Average Fitness: 45.1098516959988, Average Time: 1.174856424331665
File: points_prob1010_74.txt, Average Fitness: 44.903760007637494, Average Time: 0.5954329967498779
File: points_prob1010_75.txt, Average Fitness: 37.78737278137443, Average Time: 0.779914379119873
File: points_prob1010_76.txt, Average Fitness: 28.801330591961708, Average Time: 0.6602339744567871
File: points_prob1010_77.txt, Average Fitness: 41.85201198019999, Average Time: 0.6662161350250244
File: points_prob1010_78.txt, Average Fitness: 40.53965416523454, Average Time: 0.7440102100372314
File: points_prob1010_79.txt, Average Fitness: 40.2536380287105, Average Time: 0.6043837070465088
File: points_prob1010_8.txt, Average Fitness: 49.676120056855765, Average Time: 0.5318233966827393
File: points_prob1010_80.txt, Average Fitness: 35.25056285915408, Average Time: 0.6003861427307129
File: points_prob1010_81.txt, Average Fitness: 38.55572720044721, Average Time: 0.92850661277771
File: points_prob1010_82.txt, Average Fitness: 36.940922077681996, Average Time: 0.7519874572753906
File: points_prob1010_83.txt, Average Fitness: 45.32019910533235, Average Time: 1.0073046684265137
File: points_prob1010_84.txt, Average Fitness: 44.97282743772621, Average Time: 0.6911253929138184
File: points_prob1010_85.txt, Average Fitness: 46.68309714743294, Average Time: 0.9734179973602295
File: points_prob1010_86.txt, Average Fitness: 38.248877286251215, Average Time: 0.882641077041626
File: points_prob1010_87.txt, Average Fitness: 38.89332721071045, Average Time: 0.7759246826171875
File: points_prob1010_88.txt, Average Fitness: 39.918589629773194, Average Time: 0.6762163639068604
File: points_prob1010_89.txt, Average Fitness: 45.61071972813567, Average Time: 0.7111139297485352
File: points_prob1010_9.txt, Average Fitness: 35.26096085897862, Average Time: 1.3449501991271973
File: points_prob1010_90.txt, Average Fitness: 44.67388680229185, Average Time: 1.1878182888031006
File: points_prob1010_91.txt, Average Fitness: 40.89246707933344, Average Time: 0.8267872333526611
File: points_prob1010_92.txt, Average Fitness: 49.53560367430033, Average Time: 1.5658507347106934
File: points_prob1010_93.txt, Average Fitness: 47.43927418664046, Average Time: 0.5564694404602051
File: points_prob1010_94.txt, Average Fitness: 39.777383745975776, Average Time: 1.292579174041748
File: points_prob1010_95.txt, Average Fitness: 42.541884572735526, Average Time: 0.4079124927520752
File: points_prob1010_96.txt, Average Fitness: 29.25455315514363, Average Time: 1.005310297012329
File: points_prob1010_97.txt, Average Fitness: 39.04052537427071, Average Time: 1.255636215209961
File: points_prob1010_98.txt, Average Fitness: 32.34728367238931, Average Time: 1.367365837097168
File: points_prob1010_99.txt, Average Fitness: 43.903154001094435, Average Time: 0.7071352005004883
