File: points_prob610_1.txt, Average Fitness: 2478.058306607415, Average Time: 6.945446252822876
File: points_prob610_10.txt, Average Fitness: 2484.6352011306303, Average Time: 4.688471555709839
File: points_prob610_100.txt, Average Fitness: 2463.5765412584187, Average Time: 4.3673014640808105
File: points_prob610_11.txt, Average Fitness: 2460.2423512764235, Average Time: 4.207745552062988
File: points_prob610_12.txt, Average Fitness: 2471.774412028367, Average Time: 4.474998712539673
File: points_prob610_13.txt, Average Fitness: 2495.4703207142134, Average Time: 4.7692670822143555
File: points_prob610_14.txt, Average Fitness: 2501.0403432377198, Average Time: 2.8573362827301025
File: points_prob610_15.txt, Average Fitness: 2464.791180205275, Average Time: 4.601730823516846
File: points_prob610_16.txt, Average Fitness: 2484.5084356592433, Average Time: 4.377317428588867
File: points_prob610_17.txt, Average Fitness: 2465.0991638262167, Average Time: 4.787166357040405
File: points_prob610_18.txt, Average Fitness: 2463.6392833504033, Average Time: 4.136957883834839
File: points_prob610_19.txt, Average Fitness: 2454.6875621092854, Average Time: 3.669185161590576
File: points_prob610_2.txt, Average Fitness: 2460.903689681182, Average Time: 4.962950229644775
File: points_prob610_20.txt, Average Fitness: 2472.8615208161705, Average Time: 4.381316184997559
File: points_prob610_21.txt, Average Fitness: 2456.731640039634, Average Time: 4.1445159912109375
File: points_prob610_22.txt, Average Fitness: 2456.8026861140456, Average Time: 3.799834966659546
File: points_prob610_23.txt, Average Fitness: 2478.9070621143096, Average Time: 4.320467233657837
File: points_prob610_24.txt, Average Fitness: 2461.09270030096, Average Time: 5.112335443496704
File: points_prob610_25.txt, Average Fitness: 2511.6144799666536, Average Time: 3.9152002334594727
File: points_prob610_26.txt, Average Fitness: 2500.320807553451, Average Time: 6.786842107772827
File: points_prob610_27.txt, Average Fitness: 2460.7383254453025, Average Time: 4.235694169998169
File: points_prob610_28.txt, Average Fitness: 2474.6422332510756, Average Time: 5.436045169830322
File: points_prob610_29.txt, Average Fitness: 2495.1625553031613, Average Time: 8.758387804031372
File: points_prob610_3.txt, Average Fitness: 2495.904613367203, Average Time: 3.716125249862671
File: points_prob610_30.txt, Average Fitness: 2472.9613260702713, Average Time: 4.523149251937866
File: points_prob610_31.txt, Average Fitness: 2450.9288383039857, Average Time: 4.416754245758057
