File: points_prob310_1.txt, Average Fitness: 1240.8611432010784, Average Time: 2.9894115924835205
File: points_prob310_10.txt, Average Fitness: 1221.0899026602551, Average Time: 3.0727803707122803
File: points_prob310_100.txt, Average Fitness: 1215.7813709246918, Average Time: 2.7384016513824463
File: points_prob310_11.txt, Average Fitness: 1250.5714175117785, Average Time: 2.394631862640381
File: points_prob310_12.txt, Average Fitness: 1283.212944825413, Average Time: 2.4833834171295166
File: points_prob310_13.txt, Average Fitness: 1219.743893457751, Average Time: 3.092784881591797
File: points_prob310_14.txt, Average Fitness: 1213.1717402586405, Average Time: 2.421558380126953
File: points_prob310_15.txt, Average Fitness: 1235.0872001289142, Average Time: 2.6100244522094727
File: points_prob310_16.txt, Average Fitness: 1263.0176846951824, Average Time: 3.2077510356903076
File: points_prob310_17.txt, Average Fitness: 1215.4405076820212, Average Time: 2.4598095417022705
File: points_prob310_18.txt, Average Fitness: 1224.3824287113093, Average Time: 4.392249345779419
File: points_prob310_19.txt, Average Fitness: 1252.510942222444, Average Time: 3.5285327434539795
File: points_prob310_2.txt, Average Fitness: 1181.522874540994, Average Time: 3.051862955093384
File: points_prob310_20.txt, Average Fitness: 1204.017985807834, Average Time: 3.650207996368408
File: points_prob310_21.txt, Average Fitness: 1276.6552357024261, Average Time: 2.4515347480773926
File: points_prob310_22.txt, Average Fitness: 1246.4961548191443, Average Time: 3.4802730083465576
File: points_prob310_23.txt, Average Fitness: 1226.4267462149896, Average Time: 4.880945682525635
File: points_prob310_24.txt, Average Fitness: 1248.67412591435, Average Time: 3.26131534576416
File: points_prob310_25.txt, Average Fitness: 1256.7611026234154, Average Time: 3.3081531524658203
File: points_prob310_26.txt, Average Fitness: 1213.4136544995595, Average Time: 2.8603506088256836
File: points_prob310_27.txt, Average Fitness: 1275.949625079659, Average Time: 2.623975992202759
File: points_prob310_28.txt, Average Fitness: 1218.2191035432184, Average Time: 3.728260040283203
File: points_prob310_29.txt, Average Fitness: 1227.660208962293, Average Time: 2.6160037517547607
File: points_prob310_3.txt, Average Fitness: 1202.7479137769226, Average Time: 3.0249075889587402
File: points_prob310_30.txt, Average Fitness: 1244.4574822417603, Average Time: 4.69946026802063
File: points_prob310_31.txt, Average Fitness: 1245.1988259210657, Average Time: 2.8404223918914795
File: points_prob310_32.txt, Average Fitness: 1198.9600113862252, Average Time: 3.872154712677002
File: points_prob310_33.txt, Average Fitness: 1224.2716313416674, Average Time: 2.1662468910217285
File: points_prob310_34.txt, Average Fitness: 1257.894918581817, Average Time: 2.613938808441162
File: points_prob310_35.txt, Average Fitness: 1221.5528856383503, Average Time: 3.6443920135498047
File: points_prob310_36.txt, Average Fitness: 1266.243015474626, Average Time: 2.6798572540283203
File: points_prob310_37.txt, Average Fitness: 1226.9176115184086, Average Time: 2.8773322105407715
File: points_prob310_38.txt, Average Fitness: 1229.361446519401, Average Time: 3.0428335666656494
File: points_prob310_39.txt, Average Fitness: 1230.076742530565, Average Time: 2.426422119140625
File: points_prob310_4.txt, Average Fitness: 1220.6147303607922, Average Time: 2.1202964782714844
File: points_prob310_40.txt, Average Fitness: 1214.05275529993, Average Time: 3.3161609172821045
File: points_prob310_41.txt, Average Fitness: 1245.9114636874506, Average Time: 2.9102110862731934
File: points_prob310_42.txt, Average Fitness: 1239.4893919559413, Average Time: 3.5724456310272217
File: points_prob310_43.txt, Average Fitness: 1230.7880805139207, Average Time: 3.0358474254608154
File: points_prob310_44.txt, Average Fitness: 1242.9147053941424, Average Time: 2.4414994716644287
File: points_prob310_45.txt, Average Fitness: 1243.9018806895472, Average Time: 3.4808337688446045
File: points_prob310_46.txt, Average Fitness: 1253.0905881667097, Average Time: 2.7356812953948975
File: points_prob310_47.txt, Average Fitness: 1281.9606364289416, Average Time: 1.9268460273742676
File: points_prob310_48.txt, Average Fitness: 1256.7939074318988, Average Time: 2.248891592025757
File: points_prob310_49.txt, Average Fitness: 1229.0921915930082, Average Time: 2.905257225036621
File: points_prob310_5.txt, Average Fitness: 1209.253855098787, Average Time: 2.670881509780884
File: points_prob310_50.txt, Average Fitness: 1249.5970590537186, Average Time: 2.562145948410034
File: points_prob310_51.txt, Average Fitness: 1284.7047934621278, Average Time: 2.6000442504882812
File: points_prob310_52.txt, Average Fitness: 1227.2349194594647, Average Time: 3.2822272777557373
File: points_prob310_53.txt, Average Fitness: 1220.6263552258588, Average Time: 1.8829212188720703
File: points_prob310_54.txt, Average Fitness: 1250.116534194009, Average Time: 2.740694522857666
File: points_prob310_55.txt, Average Fitness: 1224.1561491270793, Average Time: 3.4567244052886963
File: points_prob310_56.txt, Average Fitness: 1258.7683065140284, Average Time: 2.525273323059082
File: points_prob310_57.txt, Average Fitness: 1236.1794747370996, Average Time: 2.5920650959014893
File: points_prob310_58.txt, Average Fitness: 1242.5768637152507, Average Time: 2.0146119594573975
File: points_prob310_59.txt, Average Fitness: 1231.520842916943, Average Time: 2.6110293865203857
File: points_prob310_6.txt, Average Fitness: 1248.474969245004, Average Time: 3.4377870559692383
File: points_prob310_60.txt, Average Fitness: 1222.8648997469118, Average Time: 2.2599802017211914
File: points_prob310_61.txt, Average Fitness: 1245.5134982179547, Average Time: 3.482682704925537
File: points_prob310_62.txt, Average Fitness: 1202.1011858341171, Average Time: 3.0358777046203613
File: points_prob310_63.txt, Average Fitness: 1227.0673601060491, Average Time: 2.159245252609253
