File: points_prob810_1.txt, Average Fitness: 3278.466942110174, Average Time: 6.78983211517334
File: points_prob810_10.txt, Average Fitness: 3280.2195038172804, Average Time: 6.1569504737854
File: points_prob810_100.txt, Average Fitness: 3280.3822306372685, Average Time: 5.655898332595825
File: points_prob810_11.txt, Average Fitness: 3310.9423923826457, Average Time: 6.514586687088013
File: points_prob810_12.txt, Average Fitness: 3303.047198394931, Average Time: 7.200749635696411
File: points_prob810_13.txt, Average Fitness: 3303.2685949731967, Average Time: 4.174828767776489
File: points_prob810_14.txt, Average Fitness: 3325.161740795229, Average Time: 6.307128190994263
File: points_prob810_15.txt, Average Fitness: 3291.341098612522, Average Time: 5.917168855667114
File: points_prob810_16.txt, Average Fitness: 3327.1867937165575, Average Time: 4.702441930770874
File: points_prob810_17.txt, Average Fitness: 3281.3234298032135, Average Time: 6.704043388366699
File: points_prob810_18.txt, Average Fitness: 3344.041102905936, Average Time: 5.635919809341431
File: points_prob810_19.txt, Average Fitness: 3292.879183219959, Average Time: 4.946776390075684
File: points_prob810_2.txt, Average Fitness: 3303.020019282875, Average Time: 6.499573469161987
File: points_prob810_20.txt, Average Fitness: 3296.307566380552, Average Time: 5.1363019943237305
File: points_prob810_21.txt, Average Fitness: 3272.734649301748, Average Time: 6.9124977588653564
File: points_prob810_22.txt, Average Fitness: 3279.360320438591, Average Time: 5.357667922973633
File: points_prob810_23.txt, Average Fitness: 3313.630791012759, Average Time: 6.386939525604248
File: points_prob810_24.txt, Average Fitness: 3313.729774318278, Average Time: 5.8960700035095215
File: points_prob810_25.txt, Average Fitness: 3277.8108229730633, Average Time: 7.081058502197266
File: points_prob810_26.txt, Average Fitness: 3300.8461436273274, Average Time: 5.665843963623047
File: points_prob810_27.txt, Average Fitness: 3281.6792326354393, Average Time: 4.400272369384766
File: points_prob810_28.txt, Average Fitness: 3263.3918625146052, Average Time: 5.637898206710815
File: points_prob810_29.txt, Average Fitness: 3311.3363641392257, Average Time: 5.533223867416382
File: points_prob810_3.txt, Average Fitness: 3301.0225555359666, Average Time: 6.475684642791748
File: points_prob810_30.txt, Average Fitness: 3279.616568578532, Average Time: 5.0225629806518555
File: points_prob810_31.txt, Average Fitness: 3279.6725234483165, Average Time: 5.418530464172363
File: points_prob810_32.txt, Average Fitness: 3290.486873718741, Average Time: 7.261573314666748
File: points_prob810_33.txt, Average Fitness: 3279.381181084217, Average Time: 5.915157794952393
File: points_prob810_34.txt, Average Fitness: 3251.110067326076, Average Time: 6.648242235183716
File: points_prob810_35.txt, Average Fitness: 3310.37744203752, Average Time: 5.886066913604736
File: points_prob810_36.txt, Average Fitness: 3310.3068270807635, Average Time: 5.524218559265137
File: points_prob810_37.txt, Average Fitness: 3290.561411306485, Average Time: 4.8321545124053955
File: points_prob810_38.txt, Average Fitness: 3305.7229126196216, Average Time: 4.53056788444519
File: points_prob810_39.txt, Average Fitness: 3311.253338994007, Average Time: 6.4656736850738525
File: points_prob810_4.txt, Average Fitness: 3306.1055608460424, Average Time: 5.367666006088257
File: points_prob810_40.txt, Average Fitness: 3291.3016205915756, Average Time: 6.043803930282593
File: points_prob810_41.txt, Average Fitness: 3314.5408362761527, Average Time: 5.087374925613403
File: points_prob810_42.txt, Average Fitness: 3280.9501078380363, Average Time: 4.904956817626953
File: points_prob810_43.txt, Average Fitness: 3301.0049899427095, Average Time: 5.648895502090454
File: points_prob810_44.txt, Average Fitness: 3316.92178844764, Average Time: 4.897921323776245
File: points_prob810_45.txt, Average Fitness: 3271.410378053836, Average Time: 5.253777265548706
File: points_prob810_46.txt, Average Fitness: 3313.116832454066, Average Time: 4.446105003356934
File: points_prob810_47.txt, Average Fitness: 3313.2313575961452, Average Time: 6.452345848083496
File: points_prob810_48.txt, Average Fitness: 3281.362148217385, Average Time: 6.446753740310669
File: points_prob810_49.txt, Average Fitness: 3285.1249936181484, Average Time: 5.785548448562622
File: points_prob810_5.txt, Average Fitness: 3302.0241426646608, Average Time: 7.2147252559661865
File: points_prob810_50.txt, Average Fitness: 3282.845514736311, Average Time: 4.063929557800293
File: points_prob810_51.txt, Average Fitness: 3285.453779694219, Average Time: 6.30317759513855
File: points_prob810_52.txt, Average Fitness: 3286.447175932637, Average Time: 5.7017457485198975
File: points_prob810_53.txt, Average Fitness: 3339.4072403531486, Average Time: 5.311790943145752
File: points_prob810_54.txt, Average Fitness: 3309.287043326566, Average Time: 5.321789503097534
File: points_prob810_55.txt, Average Fitness: 3292.9955392378324, Average Time: 4.484800577163696
File: points_prob810_56.txt, Average Fitness: 3299.9830774308566, Average Time: 6.058790922164917
File: points_prob810_57.txt, Average Fitness: 3307.571578776862, Average Time: 7.9607322216033936
File: points_prob810_58.txt, Average Fitness: 3288.429235481609, Average Time: 4.695437908172607
File: points_prob810_59.txt, Average Fitness: 3288.443272395603, Average Time: 5.213027000427246
File: points_prob810_6.txt, Average Fitness: 3284.664278642113, Average Time: 6.964376211166382
File: points_prob810_60.txt, Average Fitness: 3314.4018064501706, Average Time: 5.9567344188690186
File: points_prob810_61.txt, Average Fitness: 3332.7324913705143, Average Time: 6.1744818687438965
File: points_prob810_62.txt, Average Fitness: 3286.7970701683685, Average Time: 4.378316164016724
File: points_prob810_63.txt, Average Fitness: 3283.81800997361, Average Time: 4.490245342254639
File: points_prob810_64.txt, Average Fitness: 3302.613170504736, Average Time: 6.534546613693237
File: points_prob810_65.txt, Average Fitness: 3280.964920104367, Average Time: 4.246646881103516
File: points_prob810_66.txt, Average Fitness: 3283.9745605557264, Average Time: 5.283891439437866
File: points_prob810_67.txt, Average Fitness: 3288.8223169402877, Average Time: 4.790181398391724
File: points_prob810_68.txt, Average Fitness: 3299.519921186299, Average Time: 6.120614290237427
File: points_prob810_69.txt, Average Fitness: 3268.648369058128, Average Time: 6.493655443191528
File: points_prob810_7.txt, Average Fitness: 3305.500333793674, Average Time: 5.646876096725464
File: points_prob810_70.txt, Average Fitness: 3287.8087757335907, Average Time: 6.3339598178863525
File: points_prob810_71.txt, Average Fitness: 3297.786066290322, Average Time: 5.394597291946411
File: points_prob810_72.txt, Average Fitness: 3293.2374306448114, Average Time: 5.9720237255096436
File: points_prob810_73.txt, Average Fitness: 3331.1182440200328, Average Time: 5.426509141921997
File: points_prob810_74.txt, Average Fitness: 3301.404127231975, Average Time: 5.578077077865601
File: points_prob810_75.txt, Average Fitness: 3279.0008575472953, Average Time: 5.358664035797119
