File,Fitness (Output 1),Fitness (Output 2),Accuracy,Time
points_prob110_10.txt,404.0787974299286,433.40950945190576,93.23256380344098,2.0964086055755615
points_prob110_100.txt,413.60693455786134,420.8100267284136,98.288279339123,2.1821892261505127
points_prob110_11.txt,418.55863684824277,428.50985779074256,97.67771481528918,1.7712607383728027
points_prob110_12.txt,411.1564590564658,438.3826903581869,93.78939180297573,1.798231840133667
points_prob110_13.txt,401.0608010654671,424.7378426049309,94.42549281828721,1.5544047355651855
points_prob110_14.txt,406.6881307098347,512.8445235708999,79.30047256390576,1.933457374572754
points_prob110_15.txt,422.39394698357745,421.93850679006795,100.10793994531913,1.7443335056304932
points_prob110_16.txt,401.7007584180111,438.0657243469003,91.69874201340342,1.9437999725341797
points_prob110_17.txt,390.00996741160805,420.6515301825433,92.71568969269212,1.8819937705993652
points_prob110_18.txt,400.8845776067833,136.7788793726269,293.0895321306536,1.588749885559082
points_prob110_19.txt,401.89545575687885,419.654366970245,95.76820531105653,2.0296075344085693
points_prob110_2.txt,427.10313110217294,418.24875932057523,102.11701088987836,1.6156671047210693
points_prob110_20.txt,420.9333334605102,446.4432792380212,94.2859603976902,1.790210485458374
points_prob110_21.txt,394.8970102240303,442.69165752160666,89.2036259356788,1.5169150829315186
points_prob110_22.txt,406.07780288727116,405.4404552281846,100.15719883175642,1.6485912799835205
points_prob110_23.txt,415.29657537500646,422.6674874915653,98.25609673450316,1.8151459693908691
points_prob110_24.txt,427.04101833317236,24.465064589891952,1745.513553680172,1.7473373413085938
points_prob110_25.txt,398.8282079240664,449.64369789802925,88.69872074010769,1.7742762565612793
points_prob110_26.txt,415.8021800129768,513.6591917313731,80.94903911121438,1.2456674575805664
points_prob110_27.txt,412.9946481538479,430.4251547050618,95.950397796068,1.7672324180603027
points_prob110_28.txt,422.7051347457814,423.09594806092673,99.90763009739601,1.592768669128418
points_prob110_29.txt,428.90852811391994,440.5439006467391,97.35886196228392,1.2057781219482422
points_prob110_3.txt,388.853068587641,450.3484267377183,86.34493771954665,1.4481241703033447
points_prob110_30.txt,412.2636921925672,527.9531119546602,78.08717911827968,1.627687931060791
points_prob110_31.txt,427.97286416084603,428.61486912856924,99.8502140233659,0.9943270683288574
points_prob110_32.txt,412.6673981003296,445.5418008764128,92.62147733132629,1.9058735370635986
points_prob110_33.txt,419.7988144507756,530.5662212793186,79.12279327518118,1.6326346397399902
points_prob110_34.txt,400.1477407916399,25.074179708976132,1595.855758537113,1.8001863956451416
points_prob110_35.txt,389.5846950024187,419.34992308883307,92.902054716698,1.5967307090759277
points_prob110_36.txt,414.6104835500731,398.8843408671393,103.94253197524539,1.0611610412597656
points_prob110_37.txt,411.2325034925706,420.9703413863108,97.68681141249232,2.0694642066955566
points_prob110_38.txt,418.17579546859133,426.22712309612166,98.1110241016467,1.2476890087127686
points_prob110_39.txt,410.94698760599863,434.9022009056432,94.49181603363698,1.8072021007537842
points_prob110_4.txt,408.6904812488776,432.96206845199913,94.39406151908375,1.3902795314788818
points_prob110_40.txt,398.8382269049862,536.5756268113017,74.33029138411577,1.5219547748565674
points_prob110_41.txt,408.68778034076195,414.52770939808966,98.59118487740965,1.762298345565796
points_prob110_42.txt,405.13356455578503,25.787384428024883,1571.0533407781334,1.8829460144042969
points_prob110_43.txt,418.1641082725016,418.00774607847717,100.03740653025963,1.6625943183898926
points_prob110_44.txt,399.77742275832827,439.2279555849417,91.01820994656973,1.9517388343811035
points_prob110_45.txt,415.98606430916277,409.212927913541,101.65516188116442,1.9936649799346924
points_prob110_46.txt,408.3213765904262,24.212750900450004,1686.38986238791,2.017601490020752
points_prob110_47.txt,393.74248836977705,424.76225560730734,92.69714603215404,2.509323835372925
points_prob110_48.txt,421.5789785732179,404.2586229040545,104.28447401931464,1.5438597202301025
points_prob110_49.txt,412.32552778646823,439.61521811366094,93.79236905303468,1.7961962223052979
points_prob110_5.txt,401.6102634938288,429.1427057113974,93.58431546169996,1.5568063259124756
points_prob110_50.txt,411.0667013835648,419.44077133527173,98.00351550826868,1.674546480178833
points_prob110_51.txt,396.2641931729274,430.4361017526983,92.06109607427773,1.8550255298614502
points_prob110_52.txt,409.5665937725652,410.5024122180604,99.77203095094164,1.725383996963501
points_prob110_53.txt,422.06979445913,541.044101341035,78.01023861326375,1.708432912826538
points_prob110_54.txt,420.9472467022721,436.71271367602094,96.38996839797878,1.803178310394287
points_prob110_55.txt,398.0761747293543,438.30526903886073,90.82167221084909,2.075486898422241
points_prob110_56.txt,410.18037156158533,414.73967674035464,98.90068266084327,1.6775150299072266
points_prob110_57.txt,409.87429033140916,425.3127781901333,96.37008605186499,2.0635058879852295
points_prob110_58.txt,407.72183824629775,426.47028428575123,95.60380951961208,2.047178030014038
points_prob110_59.txt,406.96773721169643,420.44238166876016,96.79512697944911,1.6047337055206299
points_prob110_6.txt,434.67707390257016,425.47438388809917,102.16292457618115,1.470097541809082
points_prob110_60.txt,395.0379768822918,452.70602617230054,87.26147964549952,2.1402859687805176
points_prob110_61.txt,413.3696435398512,513.0977558343656,80.56352592453985,2.122323751449585
points_prob110_62.txt,441.4061753111622,432.70470046961725,102.01094992314648,2.139303684234619
points_prob110_63.txt,410.85015278276444,459.47575531619395,89.41715597159914,1.5987207889556885
points_prob110_64.txt,415.5154621573992,538.9476619122366,77.0975535329556,1.2566406726837158
points_prob110_65.txt,438.1547659438407,431.02200593467705,101.65484822374583,2.1302778720855713
points_prob110_66.txt,421.9523295043045,576.8621216109964,73.14613209928275,1.659560203552246
