File,Fitness (Output 1),Fitness (Output 2),Accuracy
points_prob610_10.txt,2483.6045934661547,2582.0396839280725,96.18770032565233
points_prob610_100.txt,2463.445658720838,2585.234924362469,95.28904454701869
points_prob610_11.txt,2457.8457054735336,2556.0712049731155,96.15716888839115
points_prob610_12.txt,2471.068068075671,2555.368787723702,96.70103508921993
points_prob610_13.txt,2491.3414287989435,2576.1916063897943,96.70637163088357
points_prob610_14.txt,2486.8470604515055,2596.371680511934,95.78162784309706
points_prob610_15.txt,2462.2816865359173,2588.770991968207,95.11392449062782
points_prob610_16.txt,2495.5508020103666,2566.9567889305326,97.21826299421598
points_prob610_17.txt,2463.3772969741813,2585.061770605088,95.29278274838191
points_prob610_18.txt,2464.0546742664314,2561.1549844646815,96.20872962443757
points_prob610_19.txt,2443.559321418633,2567.9828410640575,95.15481499113642
points_prob610_2.txt,2460.0029162153182,2544.047782585417,96.69641164189585
points_prob610_20.txt,2472.013189703941,2558.645212689461,96.61414476083384
points_prob610_21.txt,2456.389022199115,2569.4344444068784,95.60037725602069
points_prob610_22.txt,2451.8082926716124,2555.8204767061143,95.93037989238782
points_prob610_23.txt,2477.197107690755,2549.7652641344594,97.15392795311539
points_prob610_24.txt,2461.264702840782,2580.8107736371826,95.36788702149123
points_prob610_25.txt,2508.4098233330337,2572.9951535435266,97.48987750242956
points_prob610_26.txt,2500.5700400626174,2618.3891168914834,95.50032208471981
points_prob610_27.txt,2458.2425245865193,2599.960504470742,94.54922566552328
points_prob610_28.txt,2476.2311494903397,2557.0363324108916,96.83988913664105
points_prob610_29.txt,2492.8183265238026,2580.333819230293,96.60836547371238
points_prob610_3.txt,2494.4550097335377,2597.8399242212986,96.02035084903277
points_prob610_30.txt,2471.28064407766,2581.7056466748895,95.72278881833599
points_prob610_31.txt,2450.658322922458,2581.0725513767948,94.94728544593714
points_prob610_32.txt,2507.933811342405,2541.2860445788842,98.6875844493135
points_prob610_33.txt,2482.961137441918,2611.28156695923,95.08592136746333
