File: points_prob110_1.txt, Average Fitness: 418.6405214849965, Average Time: 1.7650372505187988
File: points_prob110_10.txt, Average Fitness: 404.33038081276436, Average Time: 1.7822425842285157
File: points_prob110_100.txt, Average Fitness: 414.48217146818706, Average Time: 1.731212329864502
File: points_prob110_11.txt, Average Fitness: 419.0795597533198, Average Time: 1.714513373374939
File: points_prob110_12.txt, Average Fitness: 411.3292356378523, Average Time: 1.6651077270507812
File: points_prob110_13.txt, Average Fitness: 401.01106104305376, Average Time: 1.4933728218078612
File: points_prob110_14.txt, Average Fitness: 407.17082290985866, Average Time: 1.6031098127365113
File: points_prob110_15.txt, Average Fitness: 422.50597302192045, Average Time: 1.8782312870025635
File: points_prob110_16.txt, Average Fitness: 401.98840491146274, Average Time: 2.069603157043457
File: points_prob110_17.txt, Average Fitness: 391.049751031646, Average Time: 1.8127804040908813
File: points_prob110_18.txt, Average Fitness: 401.7271650507722, Average Time: 1.7839567184448242
File: points_prob110_19.txt, Average Fitness: 402.2783246600103, Average Time: 2.2770890951156617
File: points_prob110_2.txt, Average Fitness: 427.5539683557702, Average Time: 2.309948945045471
File: points_prob110_20.txt, Average Fitness: 421.5386647088288, Average Time: 1.9448598146438598
File: points_prob110_21.txt, Average Fitness: 394.9187081320122, Average Time: 1.9754770040512084
File: points_prob110_22.txt, Average Fitness: 406.205984585275, Average Time: 2.4664334535598753
File: points_prob110_23.txt, Average Fitness: 420.4655543550381, Average Time: 2.3624168157577516
File: points_prob110_24.txt, Average Fitness: 427.5945829423155, Average Time: 2.3111257314682008
File: points_prob110_25.txt, Average Fitness: 399.80224339099817, Average Time: 1.8111903429031373
File: points_prob110_26.txt, Average Fitness: 414.5882845597324, Average Time: 2.1402780532836916
File: points_prob110_27.txt, Average Fitness: 413.3396814111152, Average Time: 1.7878702640533448
File: points_prob110_28.txt, Average Fitness: 422.6428783125901, Average Time: 2.13585205078125
File: points_prob110_29.txt, Average Fitness: 428.0961929153733, Average Time: 1.7772644996643066
File: points_prob110_3.txt, Average Fitness: 390.3005841061987, Average Time: 1.8824466228485108
File: points_prob110_30.txt, Average Fitness: 411.5404004479666, Average Time: 1.7773198366165162
File: points_prob110_31.txt, Average Fitness: 424.91667352609664, Average Time: 2.085119533538818
File: points_prob110_32.txt, Average Fitness: 412.96391245128586, Average Time: 2.270308089256287
File: points_prob110_33.txt, Average Fitness: 420.4276841412031, Average Time: 2.035641074180603
File: points_prob110_34.txt, Average Fitness: 400.47810222905724, Average Time: 1.980589747428894
File: points_prob110_35.txt, Average Fitness: 389.3180307435544, Average Time: 2.0960147619247436
File: points_prob110_36.txt, Average Fitness: 410.21442523734584, Average Time: 2.0888108730316164
File: points_prob110_37.txt, Average Fitness: 411.5547523375652, Average Time: 2.256906843185425
File: points_prob110_38.txt, Average Fitness: 418.04863334449465, Average Time: 2.294143295288086
File: points_prob110_39.txt, Average Fitness: 411.2168961256333, Average Time: 2.1282586812973023
File: points_prob110_4.txt, Average Fitness: 406.90542377418393, Average Time: 2.291995573043823
File: points_prob110_40.txt, Average Fitness: 398.8811855159063, Average Time: 2.0685290813446047
File: points_prob110_41.txt, Average Fitness: 409.2255753299261, Average Time: 1.9831289768218994
File: points_prob110_42.txt, Average Fitness: 404.93460110412303, Average Time: 2.1803040504455566
File: points_prob110_43.txt, Average Fitness: 418.1515391120968, Average Time: 2.1459582567214968
File: points_prob110_44.txt, Average Fitness: 401.2074540494603, Average Time: 1.9682475090026856
File: points_prob110_45.txt, Average Fitness: 415.9067249493176, Average Time: 2.1483193159103395
File: points_prob110_46.txt, Average Fitness: 408.73147638752584, Average Time: 1.9193676233291626
File: points_prob110_47.txt, Average Fitness: 394.14982278648705, Average Time: 2.4035512447357177
File: points_prob110_48.txt, Average Fitness: 422.02557730532135, Average Time: 2.084466791152954
File: points_prob110_49.txt, Average Fitness: 412.345369980379, Average Time: 2.0392682552337646
File: points_prob110_5.txt, Average Fitness: 401.55108431817155, Average Time: 2.0973207473754885
File: points_prob110_50.txt, Average Fitness: 410.542739079801, Average Time: 2.1659141778945923
File: points_prob110_51.txt, Average Fitness: 396.0417213761606, Average Time: 2.338239240646362
File: points_prob110_52.txt, Average Fitness: 410.2182635407959, Average Time: 2.130563735961914
File: points_prob110_53.txt, Average Fitness: 421.7425868744508, Average Time: 1.82078115940094
File: points_prob110_54.txt, Average Fitness: 420.8005136477521, Average Time: 2.1009525299072265
File: points_prob110_55.txt, Average Fitness: 398.37999138729975, Average Time: 2.086305332183838
File: points_prob110_56.txt, Average Fitness: 410.287361369226, Average Time: 1.6410174369812012
File: points_prob110_57.txt, Average Fitness: 410.88063918871376, Average Time: 2.3168248176574706
File: points_prob110_58.txt, Average Fitness: 407.96592116154653, Average Time: 2.276585102081299
File: points_prob110_59.txt, Average Fitness: 407.398229105461, Average Time: 2.1128430366516113
File: points_prob110_6.txt, Average Fitness: 434.6591906941338, Average Time: 2.1783846378326417
File: points_prob110_60.txt, Average Fitness: 395.1694484236938, Average Time: 2.199705386161804
File: points_prob110_61.txt, Average Fitness: 413.3009508159654, Average Time: 2.5083603858947754
File: points_prob110_62.txt, Average Fitness: 441.68955413024275, Average Time: 2.1471206903457642
File: points_prob110_63.txt, Average Fitness: 410.9947738636889, Average Time: 2.0544788360595705
File: points_prob110_64.txt, Average Fitness: 415.6708454441935, Average Time: 1.9537347316741944
File: points_prob110_65.txt, Average Fitness: 439.0428530925718, Average Time: 1.87692289352417
File: points_prob110_66.txt, Average Fitness: 421.7054359689634, Average Time: 2.086944508552551
File: points_prob110_67.txt, Average Fitness: 394.09141630553887, Average Time: 2.1319480180740356
File: points_prob110_68.txt, Average Fitness: 431.5668662145814, Average Time: 1.9669329881668092
File: points_prob110_69.txt, Average Fitness: 412.0726690661307, Average Time: 2.10750527381897
File: points_prob110_7.txt, Average Fitness: 406.82278923288044, Average Time: 2.161129355430603
File: points_prob110_70.txt, Average Fitness: 425.06778960039026, Average Time: 2.267973470687866
File: points_prob110_71.txt, Average Fitness: 415.4778546814294, Average Time: 2.0250691413879394
File: points_prob110_72.txt, Average Fitness: 428.43535624284397, Average Time: 2.3175213813781737
