File: points_prob110_1.txt, Average Fitness: 418.43830080230964, Average Time: 1.35577335357666
File: points_prob110_10.txt, Average Fitness: 404.94581420851136, Average Time: 1.3170763015747071
File: points_prob110_100.txt, Average Fitness: 413.93071157928415, Average Time: 1.5118552446365356
File: points_prob110_11.txt, Average Fitness: 419.63227474847815, Average Time: 1.614085841178894
File: points_prob110_12.txt, Average Fitness: 411.862482640321, Average Time: 1.4813395500183106
File: points_prob110_13.txt, Average Fitness: 401.0943579967613, Average Time: 1.2485623121261598
File: points_prob110_14.txt, Average Fitness: 407.4533704367757, Average Time: 1.3921728372573852
File: points_prob110_15.txt, Average Fitness: 423.6432299298581, Average Time: 1.4693719625473023
File: points_prob110_16.txt, Average Fitness: 402.0047439227921, Average Time: 1.4529130697250365
File: points_prob110_17.txt, Average Fitness: 391.9400692557632, Average Time: 1.3136827945709229
File: points_prob110_18.txt, Average Fitness: 402.66311587785793, Average Time: 1.165285348892212
File: points_prob110_19.txt, Average Fitness: 402.01830388712307, Average Time: 1.6007158994674682
File: points_prob110_2.txt, Average Fitness: 427.6522876490926, Average Time: 1.4635841369628906
File: points_prob110_20.txt, Average Fitness: 421.5267228884062, Average Time: 1.460295844078064
File: points_prob110_21.txt, Average Fitness: 396.39635436046757, Average Time: 1.3512850999832153
File: points_prob110_22.txt, Average Fitness: 406.2021922585816, Average Time: 1.4810404300689697
File: points_prob110_23.txt, Average Fitness: 416.1063850857469, Average Time: 1.714117169380188
File: points_prob110_24.txt, Average Fitness: 427.36582656310094, Average Time: 1.5994210958480835
File: points_prob110_25.txt, Average Fitness: 399.4790938226023, Average Time: 1.4468303442001342
File: points_prob110_26.txt, Average Fitness: 414.7067258345818, Average Time: 1.5948323249816894
File: points_prob110_27.txt, Average Fitness: 413.6522931946387, Average Time: 1.3583660364151
File: points_prob110_28.txt, Average Fitness: 423.04688944064236, Average Time: 1.55234694480896
File: points_prob110_29.txt, Average Fitness: 428.28103920858655, Average Time: 1.4004533529281615
File: points_prob110_3.txt, Average Fitness: 388.9254794817484, Average Time: 1.309399914741516
File: points_prob110_30.txt, Average Fitness: 412.23188105143436, Average Time: 1.3403186082839966
