File: points_prob110_1.txt, Average Fitness: 1019.4779260493497, Average Time: 1.2853105783462524
File: points_prob110_10.txt, Average Fitness: 745.1358606688029, Average Time: 1.382650899887085
File: points_prob110_100.txt, Average Fitness: 509.88201540597356, Average Time: 1.5874048471450806
File: points_prob110_11.txt, Average Fitness: 420.4384251278054, Average Time: 1.3468916416168213
File: points_prob110_12.txt, Average Fitness: 413.3765958669393, Average Time: 1.2214066982269287
File: points_prob110_13.txt, Average Fitness: 401.9086568616241, Average Time: 1.4485602855682373
File: points_prob110_14.txt, Average Fitness: 408.191073273165, Average Time: 1.2480397701263428
File: points_prob110_15.txt, Average Fitness: 423.6325317485101, Average Time: 1.4355257511138917
File: points_prob110_16.txt, Average Fitness: 402.8218855003437, Average Time: 1.7832122802734376
File: points_prob110_17.txt, Average Fitness: 392.3691781992184, Average Time: 1.4771500825881958
File: points_prob110_18.txt, Average Fitness: 406.477176031165, Average Time: 1.3281540155410767
File: points_prob110_19.txt, Average Fitness: 402.4356643448993, Average Time: 1.6702925205230712
File: points_prob110_2.txt, Average Fitness: 428.43513965234763, Average Time: 1.538763689994812
File: points_prob110_20.txt, Average Fitness: 422.2804751385728, Average Time: 1.3433660030364991
File: points_prob110_21.txt, Average Fitness: 398.1080922337641, Average Time: 1.203016448020935
File: points_prob110_22.txt, Average Fitness: 406.74076701235344, Average Time: 1.4733227014541626
File: points_prob110_23.txt, Average Fitness: 417.6453836502386, Average Time: 1.554092574119568
File: points_prob110_24.txt, Average Fitness: 427.81140960861774, Average Time: 1.4682409048080445
File: points_prob110_25.txt, Average Fitness: 409.05361973671654, Average Time: 1.3316648721694946
File: points_prob110_26.txt, Average Fitness: 416.5878867019008, Average Time: 1.418281865119934
File: points_prob110_27.txt, Average Fitness: 413.8818774131693, Average Time: 1.5076896905899049
File: points_prob110_28.txt, Average Fitness: 425.29381335847404, Average Time: 1.5474877119064332
File: points_prob110_29.txt, Average Fitness: 429.4114463728765, Average Time: 1.1754598379135133
File: points_prob110_3.txt, Average Fitness: 391.77805667278574, Average Time: 1.2138529062271117
