File: points_prob110_1.txt, Average Fitness: 487.29176595803517, Average Time: 1.060865545272827
File: points_prob110_10.txt, Average Fitness: 404.913499435861, Average Time: 1.3497878789901734
File: points_prob110_100.txt, Average Fitness: 414.56981226150276, Average Time: 1.2038822650909424
File: points_prob110_11.txt, Average Fitness: 420.8584280303856, Average Time: 1.1312704801559448
File: points_prob110_12.txt, Average Fitness: 438.18797491618545, Average Time: 1.0853964805603027
File: points_prob110_13.txt, Average Fitness: 532.9056418712964, Average Time: 1.0175804376602173
File: points_prob110_14.txt, Average Fitness: 407.7765078316155, Average Time: 1.1793478727340698
File: points_prob110_15.txt, Average Fitness: 424.2841568950333, Average Time: 1.0138875007629395
File: points_prob110_16.txt, Average Fitness: 409.7890462307813, Average Time: 1.047994899749756
File: points_prob110_17.txt, Average Fitness: 394.56667217135646, Average Time: 1.006709671020508
File: points_prob110_18.txt, Average Fitness: 403.3764697222023, Average Time: 0.9184428215026855
File: points_prob110_19.txt, Average Fitness: 403.1827761410762, Average Time: 1.3741265058517456
File: points_prob110_2.txt, Average Fitness: 427.7568845592973, Average Time: 1.2332007169723511
File: points_prob110_20.txt, Average Fitness: 421.7718256379305, Average Time: 1.1153191089630128
File: points_prob110_21.txt, Average Fitness: 395.9531635663184, Average Time: 1.1058440208435059
File: points_prob110_22.txt, Average Fitness: 409.3787669040597, Average Time: 1.162490224838257
File: points_prob110_23.txt, Average Fitness: 536.6857969184344, Average Time: 1.2009910821914673
File: points_prob110_24.txt, Average Fitness: 428.4774572491782, Average Time: 1.0560775995254517
File: points_prob110_25.txt, Average Fitness: 400.77534203116267, Average Time: 1.0430099010467528
File: points_prob110_26.txt, Average Fitness: 416.21084175668386, Average Time: 1.12160382270813
File: points_prob110_27.txt, Average Fitness: 414.78117560481166, Average Time: 0.9614237308502197
File: points_prob110_28.txt, Average Fitness: 577.8612265147608, Average Time: 1.0683454275131226
File: points_prob110_29.txt, Average Fitness: 509.9178664493337, Average Time: 0.9928407430648803
File: points_prob110_3.txt, Average Fitness: 389.1864287281029, Average Time: 1.1758568048477174
File: points_prob110_30.txt, Average Fitness: 851.0586948035613, Average Time: 1.078318190574646
File: points_prob110_31.txt, Average Fitness: 425.0823225234325, Average Time: 1.233100175857544
File: points_prob110_32.txt, Average Fitness: 414.6184527866227, Average Time: 1.0416136026382445
File: points_prob110_33.txt, Average Fitness: 519.5210140334107, Average Time: 1.201787805557251
File: points_prob110_34.txt, Average Fitness: 405.55490136874687, Average Time: 1.0209685802459716
File: points_prob110_35.txt, Average Fitness: 395.2750499321354, Average Time: 1.0765202045440674
File: points_prob110_36.txt, Average Fitness: 409.66513606549245, Average Time: 1.338720703125
File: points_prob110_37.txt, Average Fitness: 787.6534773100893, Average Time: 1.147730827331543
File: points_prob110_38.txt, Average Fitness: 418.432549461125, Average Time: 1.3096948862075806
File: points_prob110_39.txt, Average Fitness: 411.27618532208464, Average Time: 1.3597665309906006
File: points_prob110_4.txt, Average Fitness: 408.36966412782624, Average Time: 1.3190711736679077
File: points_prob110_40.txt, Average Fitness: 399.7930595595168, Average Time: 1.1517186403274535
File: points_prob110_41.txt, Average Fitness: 473.3201033686869, Average Time: 1.1630894184112548
File: points_prob110_42.txt, Average Fitness: 405.345360854571, Average Time: 1.3006224393844605
File: points_prob110_43.txt, Average Fitness: 418.9308306709978, Average Time: 1.2085692882537842
File: points_prob110_44.txt, Average Fitness: 401.99481096872785, Average Time: 1.0980626344680786
File: points_prob110_45.txt, Average Fitness: 420.071364433349, Average Time: 1.1768542051315307
File: points_prob110_46.txt, Average Fitness: 410.3056783687698, Average Time: 1.1328693151473999
File: points_prob110_47.txt, Average Fitness: 522.0519333759694, Average Time: 1.4147826433181763
File: points_prob110_48.txt, Average Fitness: 422.90772994572797, Average Time: 1.7409080266952515
File: points_prob110_49.txt, Average Fitness: 413.37292284149714, Average Time: 1.4423144817352296
File: points_prob110_5.txt, Average Fitness: 403.4521219960169, Average Time: 1.5877858638763427
File: points_prob110_50.txt, Average Fitness: 412.87307296724987, Average Time: 1.4118534088134767
File: points_prob110_51.txt, Average Fitness: 823.1801663342228, Average Time: 1.2393513441085815
File: points_prob110_52.txt, Average Fitness: 410.50761549625366, Average Time: 1.7697488784790039
File: points_prob110_53.txt, Average Fitness: 421.99756021358905, Average Time: 1.7424831628799438
File: points_prob110_54.txt, Average Fitness: 421.2757217446294, Average Time: 1.8945361852645874
File: points_prob110_55.txt, Average Fitness: 401.7013935808895, Average Time: 1.2559085845947267
File: points_prob110_56.txt, Average Fitness: 412.74105924413715, Average Time: 1.770655083656311
File: points_prob110_57.txt, Average Fitness: 529.9034734825684, Average Time: 1.4872769832611084
File: points_prob110_58.txt, Average Fitness: 408.415650278583, Average Time: 1.9017894744873047
File: points_prob110_59.txt, Average Fitness: 407.413800892656, Average Time: 1.9504120349884033
File: points_prob110_6.txt, Average Fitness: 434.7168295484133, Average Time: 1.9409717321395874
File: points_prob110_60.txt, Average Fitness: 397.40172669316337, Average Time: 1.6997613906860352
File: points_prob110_61.txt, Average Fitness: 413.7079472805843, Average Time: 2.202073335647583
File: points_prob110_62.txt, Average Fitness: 443.0358964350241, Average Time: 1.5403937816619873
File: points_prob110_63.txt, Average Fitness: 481.48446322042065, Average Time: 1.6368881464004517
File: points_prob110_64.txt, Average Fitness: 417.5709709657955, Average Time: 1.7349119424819945
File: points_prob110_65.txt, Average Fitness: 440.5663921559467, Average Time: 1.546228289604187
File: points_prob110_66.txt, Average Fitness: 422.70520842761925, Average Time: 1.7939502716064453
File: points_prob110_67.txt, Average Fitness: 396.64057020778984, Average Time: 1.8463431358337403
File: points_prob110_68.txt, Average Fitness: 434.3443400606041, Average Time: 1.4784207582473754
File: points_prob110_69.txt, Average Fitness: 466.6999633577326, Average Time: 1.5930668354034423
File: points_prob110_7.txt, Average Fitness: 408.2681335217356, Average Time: 1.9199224948883056
