File: points_prob110_1.txt, Average Fitness: 418.216357123166, Average Time: 1.544871211051941
File: points_prob110_10.txt, Average Fitness: 404.8200224443167, Average Time: 1.3567692995071412
File: points_prob110_100.txt, Average Fitness: 413.8307208904695, Average Time: 1.6854881763458252
File: points_prob110_11.txt, Average Fitness: 419.7348236113113, Average Time: 1.6740217208862305
File: points_prob110_12.txt, Average Fitness: 411.5356501422201, Average Time: 1.4398508548736573
File: points_prob110_13.txt, Average Fitness: 401.3377219796628, Average Time: 1.3945664405822753
File: points_prob110_14.txt, Average Fitness: 407.3264281586903, Average Time: 1.6223597288131715
File: points_prob110_15.txt, Average Fitness: 422.7489000217844, Average Time: 1.48074152469635
File: points_prob110_16.txt, Average Fitness: 402.09599865694685, Average Time: 1.596129822731018
File: points_prob110_17.txt, Average Fitness: 390.7365295103977, Average Time: 1.3560723543167115
File: points_prob110_18.txt, Average Fitness: 402.250503307094, Average Time: 1.3758196115493775
File: points_prob110_19.txt, Average Fitness: 402.08066828593803, Average Time: 1.7136155128479005
File: points_prob110_2.txt, Average Fitness: 427.487237278012, Average Time: 1.5286107778549194
File: points_prob110_20.txt, Average Fitness: 421.87412353388, Average Time: 1.2116586923599244
File: points_prob110_21.txt, Average Fitness: 397.07213179811947, Average Time: 1.2915473937988282
File: points_prob110_22.txt, Average Fitness: 406.5910761070371, Average Time: 1.467476987838745
File: points_prob110_23.txt, Average Fitness: 416.67460665344663, Average Time: 1.7627842664718627
File: points_prob110_24.txt, Average Fitness: 427.6051141888676, Average Time: 1.4824342250823974
File: points_prob110_25.txt, Average Fitness: 400.4116813103151, Average Time: 1.311292052268982
File: points_prob110_26.txt, Average Fitness: 414.5782887419662, Average Time: 1.5896472692489625
File: points_prob110_27.txt, Average Fitness: 413.49156339374787, Average Time: 1.5374911308288575
File: points_prob110_28.txt, Average Fitness: 422.84942366244604, Average Time: 1.6107886552810669
File: points_prob110_29.txt, Average Fitness: 428.0714076370949, Average Time: 1.379512357711792
File: points_prob110_3.txt, Average Fitness: 388.9388562615022, Average Time: 1.4547111749649049
File: points_prob110_30.txt, Average Fitness: 412.19611136856173, Average Time: 1.342311930656433
File: points_prob110_31.txt, Average Fitness: 425.21071460563496, Average Time: 1.5075671672821045
File: points_prob110_32.txt, Average Fitness: 413.4089911106568, Average Time: 1.60560142993927
File: points_prob110_33.txt, Average Fitness: 420.6128801792887, Average Time: 1.5882509231567383
File: points_prob110_34.txt, Average Fitness: 400.41678030557733, Average Time: 1.4957011938095093
File: points_prob110_35.txt, Average Fitness: 389.5769999556512, Average Time: 1.4899114608764648
File: points_prob110_36.txt, Average Fitness: 409.50162106313303, Average Time: 1.740842843055725
File: points_prob110_37.txt, Average Fitness: 411.6914175952535, Average Time: 1.6747222423553467
File: points_prob110_38.txt, Average Fitness: 417.91026437393214, Average Time: 1.7668730020523071
File: points_prob110_39.txt, Average Fitness: 411.4389435540514, Average Time: 1.6985585689544678
File: points_prob110_4.txt, Average Fitness: 407.2226795550566, Average Time: 1.6391175031661986
File: points_prob110_40.txt, Average Fitness: 398.7487552428099, Average Time: 1.4772478818893433
File: points_prob110_41.txt, Average Fitness: 409.10191559841394, Average Time: 1.6729218721389771
