file name, average fitness, average time
File: points_prob110_74.txt, Average Fitness: 574.9510604514631, Average Time: 1.0737072706222535
File: points_prob110_75.txt, Average Fitness: 422.8870149222004, Average Time: 1.2016865491867066
File: points_prob110_76.txt, Average Fitness: 414.9527939543201, Average Time: 1.1963096857070923
File: points_prob110_77.txt, Average Fitness: 393.4356075043826, Average Time: 1.4201144456863404
File: points_prob110_78.txt, Average Fitness: 488.96733775566526, Average Time: 1.1133142709732056
File: points_prob110_79.txt, Average Fitness: 432.38810051003276, Average Time: 0.9102520942687988
File: points_prob110_8.txt, Average Fitness: 419.56726627756495, Average Time: 1.227868127822876
File: points_prob110_80.txt, Average Fitness: 414.64788285106613, Average Time: 1.4939997434616088
File: points_prob110_81.txt, Average Fitness: 414.1637955103066, Average Time: 1.1398899555206299
File: points_prob110_82.txt, Average Fitness: 413.46234770372837, Average Time: 1.1775142908096314
File: points_prob110_83.txt, Average Fitness: 712.7692285647241, Average Time: 0.987233304977417
File: points_prob110_84.txt, Average Fitness: 420.2756961470401, Average Time: 1.0530075073242187
File: points_prob110_85.txt, Average Fitness: 402.48071044577614, Average Time: 1.1665316581726075
File: points_prob110_86.txt, Average Fitness: 404.94557518298075, Average Time: 0.911087441444397
File: points_prob110_87.txt, Average Fitness: 412.85214052546144, Average Time: 1.018521285057068
File: points_prob110_88.txt, Average Fitness: 421.53762247971224, Average Time: 1.1374309539794922
File: points_prob110_89.txt, Average Fitness: 407.1718733756505, Average Time: 1.074760866165161
File: points_prob110_9.txt, Average Fitness: 417.07922911534536, Average Time: 1.286959958076477
File: points_prob110_90.txt, Average Fitness: 577.715210861921, Average Time: 1.0350503206253052
File: points_prob110_91.txt, Average Fitness: 414.31189057974086, Average Time: 1.060124921798706
File: points_prob110_92.txt, Average Fitness: 409.6560792355109, Average Time: 1.0242827653884887
File: points_prob110_93.txt, Average Fitness: 1049.048632307758, Average Time: 1.319519329071045
File: points_prob110_94.txt, Average Fitness: 398.5948502194169, Average Time: 1.6299413442611694
File: points_prob110_95.txt, Average Fitness: 413.154184127421, Average Time: 1.3876354694366455
File: points_prob110_96.txt, Average Fitness: 410.64090348156924, Average Time: 1.0824212312698365
File: points_prob110_97.txt, Average Fitness: 425.9967588418722, Average Time: 1.5688730239868165
File: points_prob110_98.txt, Average Fitness: 446.7583690847462, Average Time: 1.1659159183502197
File: points_prob110_99.txt, Average Fitness: 419.0640090242299, Average Time: 1.1544352293014526
