File: points_prob110_75.txt, Average Fitness: 422.67348219561956, Average Time: 2.5327035903930666
File: points_prob110_76.txt, Average Fitness: 414.40913427497725, Average Time: 1.7914595127105712
File: points_prob110_77.txt, Average Fitness: 392.98005559041655, Average Time: 2.2614781856536865
File: points_prob110_78.txt, Average Fitness: 405.36980595559464, Average Time: 2.3875743627548216
File: points_prob110_79.txt, Average Fitness: 405.84931274430085, Average Time: 2.1477373600006104
File: points_prob110_8.txt, Average Fitness: 419.4236801130727, Average Time: 1.7831161975860597
File: points_prob110_80.txt, Average Fitness: 414.2609626681583, Average Time: 2.2126137018203735
File: points_prob110_81.txt, Average Fitness: 413.29741744897194, Average Time: 2.219067025184631
File: points_prob110_82.txt, Average Fitness: 411.4981535578594, Average Time: 2.5593249082565306
File: points_prob110_83.txt, Average Fitness: 412.0886778831262, Average Time: 2.083991551399231
File: points_prob110_84.txt, Average Fitness: 420.57786112836783, Average Time: 1.7462101697921752
File: points_prob110_85.txt, Average Fitness: 400.6549820044094, Average Time: 2.1422405004501344
File: points_prob110_86.txt, Average Fitness: 400.0931793488929, Average Time: 2.3130455493927
File: points_prob110_87.txt, Average Fitness: 411.13039712460215, Average Time: 1.9024163961410523
File: points_prob110_88.txt, Average Fitness: 421.3087766626081, Average Time: 1.9335132122039795
File: points_prob110_89.txt, Average Fitness: 405.34317718071145, Average Time: 2.191486668586731
File: points_prob110_9.txt, Average Fitness: 416.4557572932425, Average Time: 2.343669056892395
File: points_prob110_90.txt, Average Fitness: 407.82634061311705, Average Time: 2.949121594429016
File: points_prob110_91.txt, Average Fitness: 413.76804944085586, Average Time: 2.2173401594161986
File: points_prob110_92.txt, Average Fitness: 405.59374386376544, Average Time: 2.069411039352417
File: points_prob110_93.txt, Average Fitness: 405.5390060155619, Average Time: 2.23110945224762
File: points_prob110_94.txt, Average Fitness: 398.0604688860763, Average Time: 2.259736967086792
File: points_prob110_95.txt, Average Fitness: 413.25142650433037, Average Time: 2.3359556913375856
File: points_prob110_96.txt, Average Fitness: 397.72212672428975, Average Time: 1.6387924432754517
File: points_prob110_97.txt, Average Fitness: 425.74739884737454, Average Time: 1.8679342031478883
File: points_prob110_98.txt, Average Fitness: 474.09165865263896, Average Time: 1.4342670917510987
File: points_prob110_99.txt, Average Fitness: 417.65439479298584, Average Time: 1.8793681859970093
