File: points_prob110_75.txt, Average Fitness: 422.2877518468211, Average Time: 2.0075936317443848
File: points_prob110_76.txt, Average Fitness: 414.9321544364417, Average Time: 1.490013837814331
File: points_prob110_77.txt, Average Fitness: 392.75674730741923, Average Time: 2.0485191345214844
File: points_prob110_78.txt, Average Fitness: 405.08480661854907, Average Time: 1.6476175785064697
File: points_prob110_79.txt, Average Fitness: 405.2008288202235, Average Time: 1.7851989269256592
File: points_prob110_8.txt, Average Fitness: 421.95650906240013, Average Time: 1.0561802387237549
File: points_prob110_80.txt, Average Fitness: 414.04410048803186, Average Time: 2.315819501876831
File: points_prob110_81.txt, Average Fitness: 414.0208228941283, Average Time: 1.6946079730987549
File: points_prob110_82.txt, Average Fitness: 411.20046952720577, Average Time: 1.671851634979248
File: points_prob110_83.txt, Average Fitness: 411.72781394251723, Average Time: 1.8560352325439453
File: points_prob110_84.txt, Average Fitness: 417.16671061441707, Average Time: 1.1230320930480957
File: points_prob110_85.txt, Average Fitness: 399.93418316516295, Average Time: 1.8719542026519775
File: points_prob110_86.txt, Average Fitness: 400.7810772457174, Average Time: 1.3603971004486084
File: points_prob110_87.txt, Average Fitness: 410.81302687603693, Average Time: 2.1382620334625244
File: points_prob110_88.txt, Average Fitness: 420.98011730196606, Average Time: 2.243995189666748
File: points_prob110_89.txt, Average Fitness: 405.00609742172287, Average Time: 2.6030101776123047
File: points_prob110_9.txt, Average Fitness: 416.5400492492122, Average Time: 1.8021783828735352
File: points_prob110_90.txt, Average Fitness: 406.9861958294416, Average Time: 2.424513339996338
File: points_prob110_91.txt, Average Fitness: 413.4031763415994, Average Time: 2.0006470680236816
File: points_prob110_92.txt, Average Fitness: 407.03166154444614, Average Time: 1.4142544269561768
File: points_prob110_93.txt, Average Fitness: 405.05143517181307, Average Time: 1.6694982051849365
File: points_prob110_94.txt, Average Fitness: 397.7030121474669, Average Time: 1.8341310024261475
File: points_prob110_95.txt, Average Fitness: 412.62091566208386, Average Time: 2.260993003845215
File: points_prob110_96.txt, Average Fitness: 397.0355050805023, Average Time: 1.5687901973724365
File: points_prob110_97.txt, Average Fitness: 425.50068495372113, Average Time: 2.0864179134368896
File: points_prob110_98.txt, Average Fitness: 410.9389865781053, Average Time: 1.3862645626068115
File: points_prob110_99.txt, Average Fitness: 417.0122919804087, Average Time: 2.019604444503784
