File: points_prob110_1.txt, Average Fitness: 418.5946232650059, Average Time: 1.3133852243423463
File: points_prob110_10.txt, Average Fitness: 404.8550150517442, Average Time: 1.342109704017639
File: points_prob110_100.txt, Average Fitness: 414.2621529978843, Average Time: 1.3868900299072267
File: points_prob110_11.txt, Average Fitness: 419.56022779590575, Average Time: 1.2296103715896607
File: points_prob110_12.txt, Average Fitness: 412.1689597434256, Average Time: 1.3482954978942872
File: points_prob110_13.txt, Average Fitness: 401.8019996823219, Average Time: 1.268403959274292
File: points_prob110_14.txt, Average Fitness: 406.9353486297091, Average Time: 1.350487232208252
File: points_prob110_15.txt, Average Fitness: 425.06671709630757, Average Time: 1.2263218641281128
File: points_prob110_16.txt, Average Fitness: 403.24785794360986, Average Time: 1.3570667028427124
File: points_prob110_17.txt, Average Fitness: 527.9722233301154, Average Time: 1.0316157579421996
File: points_prob110_18.txt, Average Fitness: 402.2714537373838, Average Time: 1.2666143417358398
File: points_prob110_19.txt, Average Fitness: 403.1800746609105, Average Time: 1.3405137538909913
File: points_prob110_2.txt, Average Fitness: 676.2781703652736, Average Time: 1.3342320919036865
File: points_prob110_20.txt, Average Fitness: 422.0005323168196, Average Time: 1.160296082496643
File: points_prob110_21.txt, Average Fitness: 395.9205636782513, Average Time: 1.1828356742858888
File: points_prob110_22.txt, Average Fitness: 714.3456813200621, Average Time: 1.142942214012146
File: points_prob110_23.txt, Average Fitness: 416.9761269900299, Average Time: 1.3415136575698852
File: points_prob110_24.txt, Average Fitness: 427.71121936242287, Average Time: 1.2738949537277222
File: points_prob110_25.txt, Average Fitness: 402.7525754041588, Average Time: 1.2933371305465697
File: points_prob110_26.txt, Average Fitness: 415.43371934663276, Average Time: 1.3567729949951173
File: points_prob110_27.txt, Average Fitness: 415.23336793473516, Average Time: 1.0719322681427002
File: points_prob110_28.txt, Average Fitness: 424.5011878788314, Average Time: 1.296332049369812
File: points_prob110_29.txt, Average Fitness: 429.73494580259666, Average Time: 1.0645513772964477
File: points_prob110_3.txt, Average Fitness: 389.6945839715448, Average Time: 1.2549399852752685
File: points_prob110_30.txt, Average Fitness: 411.89939551865973, Average Time: 1.3998578786849976
File: points_prob110_31.txt, Average Fitness: 425.4100245528001, Average Time: 1.3654471397399903
File: points_prob110_32.txt, Average Fitness: 413.9307077640657, Average Time: 1.3470003128051757
