File: points_prob110_1.txt, Average Fitness: 418.68076783285414, Average Time: 1.4483722448349
File: points_prob110_10.txt, Average Fitness: 405.1822493524849, Average Time: 1.391931700706482
File: points_prob110_100.txt, Average Fitness: 414.46863216786613, Average Time: 1.6345311164855958
File: points_prob110_11.txt, Average Fitness: 420.6568586419933, Average Time: 1.4206633806228637
File: points_prob110_12.txt, Average Fitness: 413.9608894877207, Average Time: 1.163270616531372
File: points_prob110_13.txt, Average Fitness: 404.683334567831, Average Time: 1.2052839517593383
File: points_prob110_14.txt, Average Fitness: 407.54221268331713, Average Time: 1.3732148170471192
File: points_prob110_15.txt, Average Fitness: 422.94239024189375, Average Time: 1.5267145156860351
File: points_prob110_16.txt, Average Fitness: 402.33335076517324, Average Time: 1.3327085733413697
File: points_prob110_17.txt, Average Fitness: 576.1709355401729, Average Time: 1.0175545692443848
File: points_prob110_18.txt, Average Fitness: 401.8761860158036, Average Time: 1.4294434785842896
File: points_prob110_19.txt, Average Fitness: 516.8968332133998, Average Time: 1.230619525909424
File: points_prob110_2.txt, Average Fitness: 430.39468842806747, Average Time: 1.3993951797485351
File: points_prob110_20.txt, Average Fitness: 422.2574801117482, Average Time: 1.280707311630249
File: points_prob110_21.txt, Average Fitness: 1030.244692361946, Average Time: 1.1074440717697143
File: points_prob110_22.txt, Average Fitness: 415.8936891192191, Average Time: 1.2656800031661988
File: points_prob110_23.txt, Average Fitness: 417.6816747863092, Average Time: 1.3794203519821167
File: points_prob110_24.txt, Average Fitness: 429.11272185842444, Average Time: 1.5103270053863525
File: points_prob110_25.txt, Average Fitness: 403.7607950615171, Average Time: 1.3660971879959107
File: points_prob110_26.txt, Average Fitness: 417.5546933706347, Average Time: 1.4120954513549804
File: points_prob110_27.txt, Average Fitness: 414.7616723007648, Average Time: 1.336551833152771
File: points_prob110_28.txt, Average Fitness: 594.6807909613628, Average Time: 1.3632635354995728
File: points_prob110_29.txt, Average Fitness: 428.6746602092418, Average Time: 1.4483444690704346
File: points_prob110_3.txt, Average Fitness: 389.58098297733466, Average Time: 1.4817535877227783
File: points_prob110_30.txt, Average Fitness: 413.4019212369511, Average Time: 1.2481969594955444
File: points_prob110_31.txt, Average Fitness: 425.328852565114, Average Time: 1.6029294013977051
File: points_prob110_32.txt, Average Fitness: 415.2653832976953, Average Time: 1.3169458627700805
File: points_prob110_33.txt, Average Fitness: 421.4438662873208, Average Time: 1.4173892498016358
File: points_prob110_34.txt, Average Fitness: 402.0654946405424, Average Time: 1.3983139514923095
