File: points_prob110_1.txt, Average Fitness: 423.55719704646856, Average Time: 1.2078716993331908
File: points_prob110_10.txt, Average Fitness: 557.4652483193827, Average Time: 1.0290496110916139
File: points_prob110_100.txt, Average Fitness: 414.3299621847764, Average Time: 1.5085614919662476
File: points_prob110_11.txt, Average Fitness: 519.792460272123, Average Time: 1.2213326692581177
File: points_prob110_12.txt, Average Fitness: 578.0686765395435, Average Time: 0.95444655418396
File: points_prob110_13.txt, Average Fitness: 401.80369686747736, Average Time: 1.1988926172256469
File: points_prob110_14.txt, Average Fitness: 408.1881418898138, Average Time: 1.2570371150970459
File: points_prob110_15.txt, Average Fitness: 423.6098012243853, Average Time: 1.285798931121826
File: points_prob110_16.txt, Average Fitness: 456.7879328987366, Average Time: 0.9071772336959839
File: points_prob110_17.txt, Average Fitness: 392.15764196193174, Average Time: 1.2649120092391968
File: points_prob110_18.txt, Average Fitness: 645.7896174898488, Average Time: 0.8794578552246094
File: points_prob110_19.txt, Average Fitness: 403.15313025128637, Average Time: 1.3754232406616211
File: points_prob110_2.txt, Average Fitness: 437.1115896084799, Average Time: 1.0833020687103272
File: points_prob110_20.txt, Average Fitness: 422.5703129746078, Average Time: 1.1820380210876464
File: points_prob110_21.txt, Average Fitness: 397.09691723399123, Average Time: 1.1789485454559325
File: points_prob110_22.txt, Average Fitness: 407.23430304705647, Average Time: 1.2376890182495117
File: points_prob110_23.txt, Average Fitness: 416.54948160313336, Average Time: 1.6238587141036986
File: points_prob110_24.txt, Average Fitness: 702.6427872361579, Average Time: 1.0353300333023072
File: points_prob110_25.txt, Average Fitness: 404.08586161642404, Average Time: 0.963722038269043
File: points_prob110_26.txt, Average Fitness: 807.9013445000759, Average Time: 1.0508856058120728
File: points_prob110_27.txt, Average Fitness: 413.57105069998306, Average Time: 1.3039127826690673
File: points_prob110_28.txt, Average Fitness: 424.20172519087964, Average Time: 1.3017204046249389
File: points_prob110_29.txt, Average Fitness: 428.9798654189225, Average Time: 1.334928774833679
File: points_prob110_3.txt, Average Fitness: 390.1663915076327, Average Time: 1.2019815683364867
File: points_prob110_30.txt, Average Fitness: 413.49796964770167, Average Time: 1.1088338375091553
File: points_prob110_31.txt, Average Fitness: 426.0521460846456, Average Time: 1.1806440353393555
File: points_prob110_32.txt, Average Fitness: 767.4274112300021, Average Time: 1.0384217977523804
File: points_prob110_33.txt, Average Fitness: 478.3088715667576, Average Time: 1.2278156518936156
File: points_prob110_34.txt, Average Fitness: 609.8914300252006, Average Time: 0.997035026550293
File: points_prob110_35.txt, Average Fitness: 390.6824256180906, Average Time: 1.257735300064087
File: points_prob110_36.txt, Average Fitness: 782.9815379896554, Average Time: 1.2247244834899902
