File: points_prob110_1.txt, Average Fitness: 420.1245528929583, Average Time: 1.1342692852020264
File: points_prob110_10.txt, Average Fitness: 404.87331776881086, Average Time: 1.431570339202881
File: points_prob110_100.txt, Average Fitness: 416.928899913672, Average Time: 1.2269176721572876
File: points_prob110_11.txt, Average Fitness: 482.89244781029936, Average Time: 1.31278817653656
File: points_prob110_12.txt, Average Fitness: 412.5644825106283, Average Time: 1.3792102336883545
File: points_prob110_13.txt, Average Fitness: 401.88527398102684, Average Time: 1.4634845733642579
File: points_prob110_14.txt, Average Fitness: 407.9059755201623, Average Time: 1.2376917362213136
File: points_prob110_15.txt, Average Fitness: 424.1341807897358, Average Time: 1.3900811195373535
File: points_prob110_16.txt, Average Fitness: 402.815371576191, Average Time: 1.4095332145690918
File: points_prob110_17.txt, Average Fitness: 393.8795083539218, Average Time: 1.2644134044647217
File: points_prob110_18.txt, Average Fitness: 401.88288923492297, Average Time: 1.3413151025772094
File: points_prob110_19.txt, Average Fitness: 402.33531358921994, Average Time: 1.6037133455276489
File: points_prob110_2.txt, Average Fitness: 552.7348436630118, Average Time: 1.2718002557754517
File: points_prob110_20.txt, Average Fitness: 422.1489879125814, Average Time: 1.2872567653656006
File: points_prob110_21.txt, Average Fitness: 396.6240794497996, Average Time: 1.308100438117981
File: points_prob110_22.txt, Average Fitness: 513.9242559456108, Average Time: 1.2915449142456055
File: points_prob110_23.txt, Average Fitness: 423.6766086483738, Average Time: 1.4224957942962646
File: points_prob110_24.txt, Average Fitness: 433.24268599062464, Average Time: 1.2099602937698364
File: points_prob110_25.txt, Average Fitness: 504.23893195456594, Average Time: 1.176953673362732
File: points_prob110_26.txt, Average Fitness: 415.65286035419376, Average Time: 1.4569023370742797
File: points_prob110_27.txt, Average Fitness: 414.34149794601854, Average Time: 1.328649115562439
File: points_prob110_28.txt, Average Fitness: 773.2461389935628, Average Time: 1.2913481712341308
File: points_prob110_29.txt, Average Fitness: 429.6334471817292, Average Time: 1.136164665222168
File: points_prob110_3.txt, Average Fitness: 389.3091924715529, Average Time: 1.392574667930603
File: points_prob110_30.txt, Average Fitness: 413.8989779293386, Average Time: 1.1193057298660278
File: points_prob110_31.txt, Average Fitness: 739.487975359365, Average Time: 1.0909815311431885
File: points_prob110_32.txt, Average Fitness: 414.3938584969975, Average Time: 1.60186870098114
File: points_prob110_33.txt, Average Fitness: 420.613321306096, Average Time: 1.4935078859329223
File: points_prob110_34.txt, Average Fitness: 401.7894657252317, Average Time: 1.4161076307296754
File: points_prob110_35.txt, Average Fitness: 389.9978224584095, Average Time: 1.4422442197799683
File: points_prob110_36.txt, Average Fitness: 410.8647455747383, Average Time: 1.3776176929473878
File: points_prob110_37.txt, Average Fitness: 626.4092815623522, Average Time: 1.184130573272705
File: points_prob110_38.txt, Average Fitness: 418.7094269599509, Average Time: 1.6867873668670654
File: points_prob110_39.txt, Average Fitness: 411.4084832373786, Average Time: 1.6310391426086426
File: points_prob110_4.txt, Average Fitness: 408.89080956174996, Average Time: 1.6081005334854126
File: points_prob110_40.txt, Average Fitness: 455.47222932952934, Average Time: 1.1148185968399047
File: points_prob110_41.txt, Average Fitness: 409.85736691489785, Average Time: 1.6526784896850586
File: points_prob110_42.txt, Average Fitness: 458.1088552127022, Average Time: 1.2335002422332764
File: points_prob110_43.txt, Average Fitness: 431.4296079035292, Average Time: 1.3566707849502564
File: points_prob110_44.txt, Average Fitness: 430.3660312043747, Average Time: 1.008900809288025
File: points_prob110_45.txt, Average Fitness: 417.2868306626431, Average Time: 1.4633878707885741
File: points_prob110_46.txt, Average Fitness: 463.52308542388, Average Time: 1.106938648223877
File: points_prob110_47.txt, Average Fitness: 394.94557123637446, Average Time: 1.7290716886520385
File: points_prob110_48.txt, Average Fitness: 472.6798694573611, Average Time: 1.2994236469268798
File: points_prob110_49.txt, Average Fitness: 412.91250116227866, Average Time: 1.6069039106369019
File: points_prob110_5.txt, Average Fitness: 408.772514388416, Average Time: 1.2446699380874633
File: points_prob110_50.txt, Average Fitness: 411.2232503467899, Average Time: 1.3330366373062135
File: points_prob110_51.txt, Average Fitness: 479.70589125803207, Average Time: 1.4211981058120728
File: points_prob110_52.txt, Average Fitness: 444.73364143924255, Average Time: 1.415117049217224
File: points_prob110_53.txt, Average Fitness: 422.58913326983685, Average Time: 1.147333598136902
File: points_prob110_54.txt, Average Fitness: 661.2387188187901, Average Time: 1.4716627836227416
File: points_prob110_55.txt, Average Fitness: 624.5266501846467, Average Time: 1.0933775663375855
File: points_prob110_56.txt, Average Fitness: 417.1114634761264, Average Time: 1.2039763450622558
File: points_prob110_57.txt, Average Fitness: 412.121746897904, Average Time: 1.3998580932617188
File: points_prob110_58.txt, Average Fitness: 410.5608113350192, Average Time: 1.4244904041290283
File: points_prob110_59.txt, Average Fitness: 432.01279417916004, Average Time: 1.3214671611785889
File: points_prob110_6.txt, Average Fitness: 435.04125107111906, Average Time: 1.4909547328948975
File: points_prob110_60.txt, Average Fitness: 398.32498062779746, Average Time: 1.5159442663192748
File: points_prob110_61.txt, Average Fitness: 443.62818527720384, Average Time: 1.431373691558838
File: points_prob110_62.txt, Average Fitness: 445.36125298445916, Average Time: 1.326155996322632
File: points_prob110_63.txt, Average Fitness: 738.0622730964911, Average Time: 1.2287115335464478
File: points_prob110_64.txt, Average Fitness: 416.6543200533926, Average Time: 1.4285806894302369
File: points_prob110_65.txt, Average Fitness: 440.8598475925708, Average Time: 1.1896147012710572
File: points_prob110_66.txt, Average Fitness: 423.6935852114857, Average Time: 1.2493576288223267
File: points_prob110_67.txt, Average Fitness: 510.0751536156771, Average Time: 1.2860619306564331
File: points_prob110_68.txt, Average Fitness: 432.4023354478767, Average Time: 1.381898784637451
File: points_prob110_69.txt, Average Fitness: 417.78355017769934, Average Time: 1.2762838125228881
File: points_prob110_7.txt, Average Fitness: 408.8972761251485, Average Time: 1.2353974103927612
File: points_prob110_70.txt, Average Fitness: 426.2708835778425, Average Time: 1.4355569362640381
File: points_prob110_71.txt, Average Fitness: 416.53973044612724, Average Time: 1.4259851455688477
File: points_prob110_72.txt, Average Fitness: 567.9881893279123, Average Time: 1.2856603860855103
File: points_prob110_73.txt, Average Fitness: 423.3465564432149, Average Time: 1.1482285022735597
File: points_prob110_74.txt, Average Fitness: 535.5394501950111, Average Time: 1.497792863845825
File: points_prob110_75.txt, Average Fitness: 805.956251469693, Average Time: 1.3064049243927003
File: points_prob110_76.txt, Average Fitness: 432.6054172894322, Average Time: 0.9501582622528076
File: points_prob110_77.txt, Average Fitness: 393.4086623689472, Average Time: 1.6094940662384034
File: points_prob110_78.txt, Average Fitness: 405.7445575376981, Average Time: 1.540778136253357
File: points_prob110_79.txt, Average Fitness: 407.94400236678473, Average Time: 1.1657331943511964
File: points_prob110_8.txt, Average Fitness: 420.6724427052598, Average Time: 1.2463627099990844
File: points_prob110_80.txt, Average Fitness: 630.1745149007108, Average Time: 1.516646647453308
File: points_prob110_81.txt, Average Fitness: 414.1896576113771, Average Time: 1.4939019918441772
File: points_prob110_82.txt, Average Fitness: 412.4739441797692, Average Time: 1.4567041873931885
File: points_prob110_83.txt, Average Fitness: 503.79047498582986, Average Time: 0.9694068431854248
File: points_prob110_84.txt, Average Fitness: 417.6746226235724, Average Time: 1.2150493383407592
File: points_prob110_85.txt, Average Fitness: 401.6043821492223, Average Time: 1.3940733194351196
File: points_prob110_86.txt, Average Fitness: 747.1800403334303, Average Time: 1.130079460144043
File: points_prob110_87.txt, Average Fitness: 412.0003763969651, Average Time: 1.3763180017471313
File: points_prob110_88.txt, Average Fitness: 421.6659364420786, Average Time: 1.3022160053253173
File: points_prob110_89.txt, Average Fitness: 406.5290578150522, Average Time: 1.471862530708313
File: points_prob110_9.txt, Average Fitness: 417.05390568061864, Average Time: 1.4055426597595215
File: points_prob110_90.txt, Average Fitness: 556.0456085981033, Average Time: 1.274091410636902
File: points_prob110_91.txt, Average Fitness: 529.4554873547173, Average Time: 1.25005304813385
File: points_prob110_92.txt, Average Fitness: 406.7811661264592, Average Time: 1.4641857624053956
File: points_prob110_93.txt, Average Fitness: 406.72558465913215, Average Time: 1.3906813621520997
File: points_prob110_94.txt, Average Fitness: 398.6614001931132, Average Time: 1.6378196001052856
File: points_prob110_95.txt, Average Fitness: 413.30120883861883, Average Time: 1.4768463134765626
File: points_prob110_96.txt, Average Fitness: 492.611884848081, Average Time: 1.102749800682068
File: points_prob110_97.txt, Average Fitness: 426.38701649664824, Average Time: 1.4931043624877929
File: points_prob110_98.txt, Average Fitness: 455.1448759634736, Average Time: 1.35467848777771
File: points_prob110_99.txt, Average Fitness: 419.52920466011363, Average Time: 1.2416794538497924
