File: points_prob110_1.txt, Average Fitness: 417.78429316903976, Average Time: 2.539467763900757
File: points_prob110_10.txt, Average Fitness: 404.20604361784945, Average Time: 2.7286972284317015
File: points_prob110_100.txt, Average Fitness: 413.850156596414, Average Time: 2.773280668258667
File: points_prob110_11.txt, Average Fitness: 418.9327376540781, Average Time: 2.7826555728912354
File: points_prob110_12.txt, Average Fitness: 411.1578078774111, Average Time: 2.463512134552002
File: points_prob110_13.txt, Average Fitness: 400.7516187761774, Average Time: 2.421723794937134
File: points_prob110_14.txt, Average Fitness: 406.267709732963, Average Time: 2.722824215888977
File: points_prob110_15.txt, Average Fitness: 422.34357687242175, Average Time: 2.8972503423690794
File: points_prob110_16.txt, Average Fitness: 401.8954922666453, Average Time: 2.4378769636154174
File: points_prob110_17.txt, Average Fitness: 389.8582351461092, Average Time: 2.59505717754364
File: points_prob110_18.txt, Average Fitness: 401.016600785032, Average Time: 2.3299694061279297
File: points_prob110_19.txt, Average Fitness: 401.84856000801517, Average Time: 2.9481146812438963
File: points_prob110_2.txt, Average Fitness: 427.2780922373472, Average Time: 2.6892065048217773
File: points_prob110_20.txt, Average Fitness: 421.0106344608337, Average Time: 2.494425368309021
File: points_prob110_21.txt, Average Fitness: 394.56589167310887, Average Time: 2.6480160474777223
File: points_prob110_22.txt, Average Fitness: 405.95713093306614, Average Time: 2.682225728034973
File: points_prob110_23.txt, Average Fitness: 415.2980935664931, Average Time: 2.711146903038025
File: points_prob110_24.txt, Average Fitness: 427.17635355864434, Average Time: 2.6746448993682863
File: points_prob110_25.txt, Average Fitness: 398.8847398208603, Average Time: 2.6195953845977784
File: points_prob110_26.txt, Average Fitness: 414.1803165938685, Average Time: 2.8782959461212156
File: points_prob110_27.txt, Average Fitness: 412.64327252791645, Average Time: 2.632261800765991
File: points_prob110_28.txt, Average Fitness: 422.23838727865984, Average Time: 2.717935299873352
File: points_prob110_29.txt, Average Fitness: 427.4620273309679, Average Time: 2.74047212600708
