File: points_prob110_1.txt, Average Fitness: 418.71324344713776, Average Time: 1.221534752845764
File: points_prob110_10.txt, Average Fitness: 405.0802422336684, Average Time: 1.2320067405700683
File: points_prob110_100.txt, Average Fitness: 415.0550230105133, Average Time: 1.2765846252441406
File: points_prob110_11.txt, Average Fitness: 420.08931394208275, Average Time: 1.4318722248077393
File: points_prob110_12.txt, Average Fitness: 412.5273838087916, Average Time: 1.1101301908493042
File: points_prob110_13.txt, Average Fitness: 401.961701685566, Average Time: 1.1242924213409424
File: points_prob110_14.txt, Average Fitness: 407.3240225807478, Average Time: 1.2515546798706054
File: points_prob110_15.txt, Average Fitness: 423.23800938035447, Average Time: 1.2983295679092408
File: points_prob110_16.txt, Average Fitness: 402.2102645286003, Average Time: 1.2852588176727295
File: points_prob110_17.txt, Average Fitness: 391.13727608264844, Average Time: 1.244772696495056
File: points_prob110_18.txt, Average Fitness: 402.0692653266086, Average Time: 1.0668452262878418
File: points_prob110_19.txt, Average Fitness: 402.48024953496844, Average Time: 1.4031461715698241
File: points_prob110_2.txt, Average Fitness: 427.7947174964007, Average Time: 1.4733609437942505
File: points_prob110_20.txt, Average Fitness: 421.94124756029385, Average Time: 1.1560073852539063
File: points_prob110_21.txt, Average Fitness: 395.72338310683114, Average Time: 1.2219309091567994
File: points_prob110_22.txt, Average Fitness: 406.64192516213535, Average Time: 1.3767168760299682
File: points_prob110_23.txt, Average Fitness: 416.1293124477714, Average Time: 1.5535476207733154
File: points_prob110_24.txt, Average Fitness: 427.40806156978635, Average Time: 1.3389182567596436
File: points_prob110_25.txt, Average Fitness: 800.1354094979725, Average Time: 0.9492604255676269
File: points_prob110_26.txt, Average Fitness: 418.444711309432, Average Time: 1.1316751480102538
File: points_prob110_27.txt, Average Fitness: 414.6620346311499, Average Time: 1.0520883321762085
File: points_prob110_28.txt, Average Fitness: 425.821680840758, Average Time: 1.0737279176712036
File: points_prob110_29.txt, Average Fitness: 428.56498223696616, Average Time: 1.5816683769226074
File: points_prob110_3.txt, Average Fitness: 753.9781252780292, Average Time: 1.1675794124603271
File: points_prob110_30.txt, Average Fitness: 413.67492716028863, Average Time: 1.0176776885986327
File: points_prob110_31.txt, Average Fitness: 477.34104028390857, Average Time: 1.1692719221115113
File: points_prob110_32.txt, Average Fitness: 414.40461930638077, Average Time: 1.2415775299072265
File: points_prob110_33.txt, Average Fitness: 420.9036243210468, Average Time: 1.2985262632369996
File: points_prob110_34.txt, Average Fitness: 401.1681501255158, Average Time: 1.2888546943664552
File: points_prob110_35.txt, Average Fitness: 394.0405264089553, Average Time: 1.1800457239151
File: points_prob110_36.txt, Average Fitness: 409.95864811378885, Average Time: 1.3527835845947265
File: points_prob110_37.txt, Average Fitness: 412.0922877724821, Average Time: 1.3862912893295287
File: points_prob110_38.txt, Average Fitness: 418.1886345057008, Average Time: 1.4986878156661987
File: points_prob110_39.txt, Average Fitness: 411.2713054370094, Average Time: 1.5072705745697021
File: points_prob110_4.txt, Average Fitness: 407.5058820666332, Average Time: 1.3688408851623535
File: points_prob110_40.txt, Average Fitness: 493.81670859071664, Average Time: 1.0479991912841797
File: points_prob110_41.txt, Average Fitness: 410.15682652499527, Average Time: 1.4865204572677613
File: points_prob110_42.txt, Average Fitness: 406.4591697619388, Average Time: 1.014588761329651
File: points_prob110_43.txt, Average Fitness: 420.771380711143, Average Time: 1.3136854648590088
File: points_prob110_44.txt, Average Fitness: 402.2582500191365, Average Time: 1.1502231121063233
File: points_prob110_45.txt, Average Fitness: 416.3669591661834, Average Time: 1.3572688341140746
File: points_prob110_46.txt, Average Fitness: 411.66463225261975, Average Time: 1.0652530908584594
File: points_prob110_47.txt, Average Fitness: 535.9027340942766, Average Time: 1.235093069076538
File: points_prob110_48.txt, Average Fitness: 508.93655473684174, Average Time: 1.1171116352081298
File: points_prob110_49.txt, Average Fitness: 412.678911099035, Average Time: 1.3459022521972657
File: points_prob110_5.txt, Average Fitness: 402.728196891554, Average Time: 1.0708381175994872
File: points_prob110_50.txt, Average Fitness: 411.13824642345173, Average Time: 1.2684095859527589
File: points_prob110_51.txt, Average Fitness: 396.99701986494256, Average Time: 1.441643524169922
File: points_prob110_52.txt, Average Fitness: 410.3986105962422, Average Time: 1.3780160903930665
File: points_prob110_53.txt, Average Fitness: 784.5760263635541, Average Time: 1.039616060256958
File: points_prob110_54.txt, Average Fitness: 423.39869359537454, Average Time: 1.2678112506866455
File: points_prob110_55.txt, Average Fitness: 401.64561830276165, Average Time: 1.1021486282348634
File: points_prob110_56.txt, Average Fitness: 414.64673578999583, Average Time: 1.048893928527832
File: points_prob110_57.txt, Average Fitness: 411.4590173916613, Average Time: 1.3946717977523804
File: points_prob110_58.txt, Average Fitness: 408.6943810947229, Average Time: 1.2224291801452636
File: points_prob110_59.txt, Average Fitness: 483.8310984868194, Average Time: 1.1272869348526
File: points_prob110_6.txt, Average Fitness: 435.13327802150263, Average Time: 1.4493225336074829
File: points_prob110_60.txt, Average Fitness: 395.97566769110273, Average Time: 1.3613579988479614
File: points_prob110_61.txt, Average Fitness: 414.155008711699, Average Time: 1.5067688465118407
File: points_prob110_62.txt, Average Fitness: 442.6205136089434, Average Time: 1.2006906509399413
File: points_prob110_63.txt, Average Fitness: 427.24516150302287, Average Time: 1.2444707155227661
File: points_prob110_64.txt, Average Fitness: 416.6405640152445, Average Time: 1.1284783124923705
File: points_prob110_65.txt, Average Fitness: 439.7450320633181, Average Time: 1.158503532409668
File: points_prob110_66.txt, Average Fitness: 466.4320659126191, Average Time: 1.1010573387145997
File: points_prob110_67.txt, Average Fitness: 395.25977113791663, Average Time: 1.3589655876159668
File: points_prob110_68.txt, Average Fitness: 431.3687286209316, Average Time: 1.5616233825683594
File: points_prob110_69.txt, Average Fitness: 415.73838225159045, Average Time: 1.0977661848068236
File: points_prob110_7.txt, Average Fitness: 410.2235684469927, Average Time: 1.1384572744369508
File: points_prob110_70.txt, Average Fitness: 426.6287765604804, Average Time: 1.329443383216858
File: points_prob110_71.txt, Average Fitness: 416.09623990528945, Average Time: 1.265711212158203
File: points_prob110_72.txt, Average Fitness: 434.9578686720209, Average Time: 1.0267600536346435
File: points_prob110_73.txt, Average Fitness: 420.73439418166765, Average Time: 1.2180398941040038
File: points_prob110_74.txt, Average Fitness: 419.0542980929446, Average Time: 1.2116612434387206
File: points_prob110_75.txt, Average Fitness: 423.20203128025395, Average Time: 1.2094643115997314
File: points_prob110_76.txt, Average Fitness: 573.8596396027567, Average Time: 1.1100303411483765
File: points_prob110_77.txt, Average Fitness: 393.6490779424882, Average Time: 1.579574203491211
File: points_prob110_78.txt, Average Fitness: 406.2896951138131, Average Time: 1.194604253768921
File: points_prob110_79.txt, Average Fitness: 407.20572484119555, Average Time: 0.9917494773864746
File: points_prob110_8.txt, Average Fitness: 420.07456658968084, Average Time: 1.1657812118530273
File: points_prob110_80.txt, Average Fitness: 416.1561241667881, Average Time: 1.4177072048187256
File: points_prob110_81.txt, Average Fitness: 413.4665593307374, Average Time: 1.3275485277175902
File: points_prob110_82.txt, Average Fitness: 456.29743790934555, Average Time: 1.1512173652648925
File: points_prob110_83.txt, Average Fitness: 436.72148388611197, Average Time: 0.9699053764343262
File: points_prob110_84.txt, Average Fitness: 417.4203222371718, Average Time: 1.14244647026062
File: points_prob110_85.txt, Average Fitness: 401.29670186517416, Average Time: 1.269700527191162
File: points_prob110_86.txt, Average Fitness: 651.3786633288639, Average Time: 0.966314697265625
File: points_prob110_87.txt, Average Fitness: 411.49253188051415, Average Time: 1.201687788963318
File: points_prob110_88.txt, Average Fitness: 422.942194997914, Average Time: 1.2468643188476562
File: points_prob110_89.txt, Average Fitness: 409.0987462704468, Average Time: 1.1513221979141235
File: points_prob110_9.txt, Average Fitness: 416.8964197671712, Average Time: 1.3781129360198974
File: points_prob110_90.txt, Average Fitness: 409.7318374697854, Average Time: 1.2710968732833863
File: points_prob110_91.txt, Average Fitness: 414.1148920516106, Average Time: 1.2211329460144043
File: points_prob110_92.txt, Average Fitness: 409.7113482275716, Average Time: 1.1311737775802613
File: points_prob110_93.txt, Average Fitness: 410.5890929181748, Average Time: 1.02475848197937
File: points_prob110_94.txt, Average Fitness: 634.5697092380581, Average Time: 1.20537588596344
File: points_prob110_95.txt, Average Fitness: 413.2265454126027, Average Time: 1.2476594686508178
File: points_prob110_96.txt, Average Fitness: 554.609134344756, Average Time: 1.0322386503219605
File: points_prob110_97.txt, Average Fitness: 426.4416101220457, Average Time: 1.2661156415939332
File: points_prob110_98.txt, Average Fitness: 411.2959232007946, Average Time: 1.2263165235519409
