File: points_prob110_1.txt, Average Fitness: 417.7880171739647, Average Time: 2.451053595542908
File: points_prob110_10.txt, Average Fitness: 404.2267000936352, Average Time: 2.220736193656921
File: points_prob110_100.txt, Average Fitness: 413.6572847913584, Average Time: 2.3727444887161253
File: points_prob110_11.txt, Average Fitness: 419.0156019810905, Average Time: 2.357894778251648
File: points_prob110_12.txt, Average Fitness: 411.27183756336615, Average Time: 2.324786329269409
File: points_prob110_13.txt, Average Fitness: 401.0623985750305, Average Time: 2.251287746429443
File: points_prob110_14.txt, Average Fitness: 406.3174510583623, Average Time: 2.571318483352661
File: points_prob110_15.txt, Average Fitness: 422.39169898693035, Average Time: 2.42502121925354
File: points_prob110_16.txt, Average Fitness: 401.86894292674117, Average Time: 2.3215372800827025
File: points_prob110_17.txt, Average Fitness: 390.08711406910095, Average Time: 2.3441666841506956
File: points_prob110_18.txt, Average Fitness: 401.1951488403968, Average Time: 2.36486439704895
File: points_prob110_19.txt, Average Fitness: 401.95704184941644, Average Time: 2.3820074558258058
File: points_prob110_2.txt, Average Fitness: 427.1309353047949, Average Time: 2.5471377849578856
File: points_prob110_20.txt, Average Fitness: 421.22441044231084, Average Time: 2.1876269817352294
File: points_prob110_21.txt, Average Fitness: 395.3321431639023, Average Time: 2.0310952425003053
File: points_prob110_22.txt, Average Fitness: 406.05554073869587, Average Time: 2.289265990257263
File: points_prob110_23.txt, Average Fitness: 415.61775173404004, Average Time: 2.558376145362854
File: points_prob110_24.txt, Average Fitness: 427.23958019226046, Average Time: 2.293588423728943
File: points_prob110_25.txt, Average Fitness: 399.40455416992256, Average Time: 2.2714829444885254
File: points_prob110_26.txt, Average Fitness: 415.0393300946007, Average Time: 2.438547658920288
File: points_prob110_27.txt, Average Fitness: 412.82037133018287, Average Time: 2.1998129367828367
File: points_prob110_28.txt, Average Fitness: 422.1253703504784, Average Time: 2.538695526123047
File: points_prob110_29.txt, Average Fitness: 427.67557670442903, Average Time: 2.300248122215271
File: points_prob110_3.txt, Average Fitness: 388.4840782139219, Average Time: 2.4197510719299316
File: points_prob110_30.txt, Average Fitness: 411.507873871307, Average Time: 2.3376765727996824
File: points_prob110_31.txt, Average Fitness: 424.3669545005009, Average Time: 2.524638867378235
File: points_prob110_32.txt, Average Fitness: 413.2586875096007, Average Time: 2.360185718536377
